"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.765912054962812,0.186517674397922,4.1063778938654,0.0000517915061719069
"2","lag1",-0.267304454602012,0.0558354714720226,-4.78735913846361,0.0000026502194095792
"3","lag8",0.199977690958641,0.056068461393222,3.5666698530596,0.000420244798328612
"4","lag11",-0.112405725712664,0.056678502693124,-1.98321621728903,0.0482488356528115
"5","CPI_lag1",0.626979370405435,0.204314672761069,3.06869478306456,0.00234500710077852
"6","CPI_lag4",0.502466105814249,0.194036249871618,2.58954760333031,0.0100758319547509
"7","(Intercept)",0.58382866466545,0.208733862450544,2.7970002462048,0.0054889942549396
"8","lag2",0.205067973288856,0.0567547648855435,3.6132291923403,0.00035410290612062
"9","lag4",-0.123211410160466,0.0588249749824179,-2.09454249997204,0.0370447851593739
"10","CPI_lag1",0.56566646255896,0.215744651513082,2.62192577471456,0.00918654685568084
"11","CPI_lag4",0.654639668391696,0.220981998862462,2.9624117428639,0.00329491234010653
"12","CPI_lag8",0.441873650074683,0.213916535501713,2.06563578191057,0.0397157016948903
"13","(Intercept)",0.263010690907104,0.294287293301334,0.893720853376418,0.372182917463406
"14","lag1",-0.316391529988564,0.0548432729736228,-5.7690125485533,0.0000000197360301493685
"15","lag2",-0.195412949193358,0.0552242666468414,-3.53853407312807,0.000465661203067209
"16","lag7",0.13334793033007,0.0532639068765461,2.50353265747368,0.0128236445074869
"17","CPI_lag3",0.80700713163615,0.354271215255046,2.27793593407009,0.0234289345254039
"18","CPI_lag5",0.801417430194701,0.35262956141637,2.27268929744781,0.0237474408193841
"19","(Intercept)",0.345196605985121,0.178459166708372,1.93431703370677,0.0539958728735457
"20","lag9",0.163653596643484,0.0588914989571194,2.7789001730563,0.0057915937063679
"21","(Intercept)",-0.0766501020237401,0.466252999228372,-0.164395944156054,0.869529796214652
"22","lag1",-0.333908481195996,0.0552689249981112,-6.04152299338928,0.00000000450017445676043
"23","lag2",-0.143365382150256,0.0561422050423693,-2.5536115306134,0.0111540220602318
"24","lag5",-0.171657296804257,0.0531802609383761,-3.22783855842996,0.00138495443599424
