"","01.1.1 Bread and cereals","01.1.2 Meat","01.1.3 Fish","01.1.4 Milk, cheese and eggs","01.1.5 Oils and fats","01.1.6 Fruit","01.1.7 Vegetables including potatoes and tubers","01.1.8 Sugar, jam, syrups, chocolate and confectionery","01.1.9 Food products (nec)","01.2.1 Coffee, tea and cocoa","01.2.2 Mineral waters, soft drinks and juices","02.1.1 Spirits","02.1.2 Wine","02.1.3 Beer","02.2 Tobacco","03.1.2 Garments","03.1.3 Other clothing and clothing accessories","03.1.4 Cleaning, repair and hire of clothing","03.2 Footwear including repairs","04.1 Actual rentals for housing","04.3.1 Materials for maintenance and repair","04.3.2 Services for maintenance and repair","04.4.1 Water supply","04.4.3 Sewerage collection","04.5.1 Electricity","04.5.2 Gas","04.5.3 Liquid fuels","04.5.4 Solid fuels","05.1.1 Furniture and furnishings","05.1.2 Carpets and other floor coverings","05.2 Household textiles","05.3.1/2 Major appliances and small electric goods","05.3.3 Repair of household appliances","05.4 Glassware, tableware and household utensils","05.5 Tools and equipment for house and garden","05.6.1 Non-durable household goods","05.6.2 Domestic services and household services","06.1.1 Pharmaceutical products","06.1.2/3 Other medical and therapeutic equipment","06.2.1/3 Medical services & paramedical services","06.2.2 Dental services","06.3 Hospital services","07.1.1A New cars","07.1.1B Second-hand cars","07.1.2/3 Motorcycles and bicycles","07.2.1 Spare parts and accessories","07.2.2 Fuels and lubricants","07.2.3 Maintenance and repairs","07.2.4 Other services","07.3.1 Passenger transport by railway","07.3.2/6 Passenger transport by road and other transport services","07.3.3 Passenger transport by air","07.3.4 Passenger transport by sea and inland waterway","08.1 Postal services","08.2/3 Telephone and telefax equipment and services","09.1.1 Reception and reproduction of sound and pictures","09.1.2 Photographic, cinematographic and optical equipment","09.1.3 Data processing equipment","09.1.4 Recording media","09.1.5 Repair of audio-visual equipment & related products","09.2.1/2/3 Major durables for in/outdoor recreation and their maintenance","09.3.1 Games, toys and hobbies","09.3.2 Equipment for sport and open-air recreation","09.3.3 Gardens, plants and flowers","09.3.4/5 Pets, related products and services","09.4.1 Recreational and sporting services","09.4.2 Cultural services","09.5.1 Books","09.5.2 Newspapers and periodicals","09.5.3/4 Misc. printed matter, stationery, drawing materials","09.6 Package holidays","10.0 Education","11.1.1 Restaurants & cafes","11.1.2 Canteens","11.2 Accommodation services","12.1.1 Hairdressing and personal grooming establishments","12.1.2/3 Appliances and products for personal care","12.3.1 Jewellery, clocks and watches","12.3.2 Other personal effects","12.4 Social protection","12.5.2 House contents insurance","12.5.3/5 Health insurance and other insurance","12.5.4 Transport insurance","12.6.2 Other financial services (nec)","12.7 Other services (nec)"
"2005",1.5,2.3,0.4,1.3,0.2,0.8,1.4,1.2,0.2,0.3,1,0.5,1,0.5,2.6,5.1,0.2,0.1,0.9,4.7,1.2,0.8,0.5,0.5,1.4,1.2,0.1,0.1,1.9,0.6,0.8,0.7,0.1,0.8,0.6,0.5,0.5,0.6,0.6,0.2,0.2,0.8,3.3,1.7,0.3,0.6,2.7,2.4,0.6,0.8,1.4,0.8,0.2,0.2,2.3,0.6,0.4,0.5,0.9,0.1,0.9,2,0.4,0.6,0.7,0.9,2.4,0.5,0.7,0.6,2.9,1.7,10.8,1.3,1.8,0.8,2.1,0.8,0.3,1.3,0.1,0.2,0.5,2.6,2.4
"2006",1.5,2.1,0.4,1.3,0.2,0.8,1.4,1.1,0.2,0.3,0.9,0.5,0.9,0.4,2.6,5.2,0.3,0.1,0.9,4.7,1.1,0.8,0.5,0.5,1.5,1.4,0.2,0.1,2.5,0.7,0.8,0.8,0.1,0.7,0.6,0.5,0.6,0.5,0.6,0.2,0.2,0.9,3.1,1.8,0.3,0.6,3.5,2.4,0.6,0.8,1.5,0.7,0.2,0.1,2.4,0.6,0.5,0.5,1,0.1,0.9,2.3,0.4,0.5,0.7,0.8,2,0.5,0.7,0.5,2.7,1.7,10.3,1.3,1.8,0.8,2.4,0.7,0.4,1.2,0.2,0.2,0.5,2.9,1.3
"2007",1.5,2.1,0.4,1.2,0.2,0.9,1.4,1.1,0.2,0.3,1,0.5,0.9,0.4,2.5,5,0.3,0.1,0.8,4.9,1,0.7,0.5,0.5,1.9,1.8,0.1,0.1,2.2,0.6,0.8,0.7,0.1,0.7,0.6,0.5,0.6,0.5,0.5,0.3,0.2,0.9,2.7,1.9,0.3,0.6,3.6,2.4,0.6,0.8,1.4,0.7,0.2,0.1,2.3,0.6,0.4,0.7,1.1,0.1,0.9,2.1,0.4,0.5,0.7,1,2.2,0.5,0.7,0.5,2.9,1.8,10.6,1.3,1.9,0.8,2.3,0.7,0.3,1.2,0.2,0.2,0.4,2.8,1.1
"2008",1.6,2.1,0.5,1.4,0.2,0.9,1.5,1.1,0.2,0.3,1.1,0.5,0.9,0.4,2.4,5.1,0.3,0.1,0.8,5.1,1,0.8,0.5,0.6,1.7,1.5,0.2,0.1,2.2,0.6,0.8,0.8,0.1,0.7,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.8,2.6,1.9,0.3,0.5,3.8,2.3,0.6,0.8,1.4,0.8,0.2,0.1,2.2,0.6,0.4,0.5,1.1,0.1,0.9,2.2,0.4,0.5,0.7,1.1,2.1,0.5,0.7,0.5,2.9,1.9,10.6,1.2,1.9,0.8,2.2,0.7,0.3,1.2,0.2,0.2,0.4,2.8,1.1
"2009",1.7,2.3,0.5,1.5,0.2,1,1.6,1.3,0.3,0.4,1,0.6,1,0.5,2.3,4.4,0.3,0.1,0.9,5.1,1,0.8,0.5,0.6,2,2.3,0.2,0.1,2.1,0.7,0.7,0.8,0.1,0.5,0.6,0.6,0.5,0.6,0.4,0.2,0.2,0.8,2.6,1.8,0.3,0.5,3.4,2.3,0.7,0.9,1.4,0.9,0.3,0.1,2.2,0.6,0.4,0.5,0.7,0.1,0.9,2,0.4,0.5,0.8,1.1,2.1,0.5,0.6,0.6,2.7,2.1,10,1.1,1.7,0.8,2.3,0.8,0.3,1.1,0.2,0.2,0.3,2.8,1.1
"2010",1.6,2.2,0.4,1.4,0.2,0.9,1.5,1.1,0.3,0.3,0.9,0.5,0.9,0.4,2.2,4.3,0.3,0.1,0.9,5.4,1,0.7,0.5,0.6,1.9,2.5,0.2,0.1,1.9,0.6,0.8,0.8,0.1,0.6,0.7,0.5,0.4,0.6,0.4,0.2,0.2,0.8,2.3,2.3,0.3,0.5,4.1,2.5,0.8,0.9,1.4,1,0.3,0.1,2.4,0.7,0.3,0.6,0.6,0.1,0.9,2.4,0.4,0.5,0.7,1,2.1,0.4,0.6,0.7,3,1.9,9.8,1.1,1.7,0.7,2.2,0.7,0.3,1.1,0.2,0.2,0.4,2.8,1.1
"2011",1.7,2.2,0.4,1.5,0.2,1.2,1.6,1.2,0.3,0.4,1.1,0.5,0.9,0.5,2.3,4.9,0.4,0.1,0.8,5.7,1.1,0.7,0.5,0.5,1.9,2.2,0.2,0.1,1.8,0.5,0.8,0.8,0.1,0.5,0.6,0.6,0.4,0.6,0.5,0.2,0.2,0.9,2.5,1.6,0.3,0.6,4.3,2.4,0.8,0.9,1.3,0.9,0.3,0.2,2.4,0.6,0.5,0.7,0.8,0.1,1,2.2,0.3,0.5,0.8,0.8,2.2,0.4,0.5,0.6,2.7,1.8,9.3,1,1.7,0.7,2.1,0.7,0.3,1.1,0.2,0.2,0.4,2.6,1.1
"2012",1.7,2.2,0.4,1.4,0.2,0.9,1.5,1.2,0.3,0.4,1,0.5,0.9,0.4,2.4,5.2,0.3,0.1,0.9,6.4,0.8,0.6,0.5,0.5,2,3.2,0.3,0.1,1.6,0.4,0.7,0.8,0.1,0.5,0.5,0.6,0.9,0.6,0.4,0.3,0.2,0.9,2.4,1.6,0.3,0.5,4.6,2.2,1.6,0.9,1.2,0.8,0.1,0.1,2.6,0.6,0.4,0.6,0.6,0.1,1,2,0.3,0.4,0.8,0.8,2.1,0.3,0.5,0.5,2.4,1.9,8.6,1.1,1.7,0.8,2,0.8,0.5,1.3,0.3,0.2,0.3,2.3,1.1
"2013",1.6,2.1,0.4,1.3,0.2,0.9,1.4,1.1,0.3,0.3,1,0.6,0.9,0.5,2.4,5.4,0.4,0.1,0.9,6.2,0.9,0.7,0.6,0.5,1.9,2.6,0.2,0.1,1.6,0.4,0.8,0.8,0.1,0.5,0.4,0.5,0.8,0.6,0.4,0.3,0.3,0.9,2.1,1.4,0.3,0.5,4,2.2,1.4,0.9,1.3,0.6,0.1,0.2,2.9,0.6,0.3,0.7,0.6,0.1,0.9,1.9,0.3,0.4,0.6,0.9,2,0.4,0.5,0.5,3.4,2.1,8.8,1,1.9,0.7,2.1,0.8,0.5,1.4,0.2,0.2,0.4,3,1
"2014",1.7,2.2,0.4,1.4,0.2,1,1.5,1.2,0.3,0.3,1,0.6,0.9,0.5,2.5,5.5,0.6,0.1,1,7,0.1,0.1,0.6,0.6,2.1,2.1,0.2,0.1,1.6,0.5,0.7,0.8,0.1,0.6,0.4,0.5,0.8,0.6,0.4,0.3,0.3,0.8,2.3,1.8,0.3,0.5,3.5,2.3,1.3,1.1,1.1,0.6,0.4,0.2,3,0.5,0.3,0.8,0.5,0.1,0.9,2.1,0.3,0.4,0.8,0.9,2.2,0.4,0.5,0.5,3.2,2.2,9.1,0.9,2,0.7,2.2,0.8,0.5,1.2,0.2,0.2,0.3,1.7,1
