"","date_all","CPI ANNUAL RATE 00: ALL ITEMS 2015=100"
"1",1989-01-01,4.9
"2",1989-02-01,5
"3",1989-03-01,5
"4",1989-04-01,5.3
"5",1989-05-01,5.3
"6",1989-06-01,5.2
"7",1989-07-01,5.2
"8",1989-08-01,5
"9",1989-09-01,5.2
"10",1989-10-01,5.5
"11",1989-11-01,5.5
"12",1989-12-01,5.5
"13",1990-01-01,5.7
"14",1990-02-01,5.9
"15",1990-03-01,6
"16",1990-04-01,6.4
"17",1990-05-01,6.8
"18",1990-06-01,6.9
"19",1990-07-01,6.8
"20",1990-08-01,7.7
"21",1990-09-01,8.1
"22",1990-10-01,8.1
"23",1990-11-01,7.8
"24",1990-12-01,7.6
"25",1991-01-01,7.1
"26",1991-02-01,7
"27",1991-03-01,6.9
"28",1991-04-01,8.4
"29",1991-05-01,8.2
"30",1991-06-01,8.4
"31",1991-07-01,8.3
"32",1991-08-01,7.9
"33",1991-09-01,7.1
"34",1991-10-01,6.8
"35",1991-11-01,7.1
"36",1991-12-01,7.2
"37",1992-01-01,7
"38",1992-02-01,6.9
"39",1992-03-01,7.1
"40",1992-04-01,4.7
"41",1992-05-01,4.3
"42",1992-06-01,3.8
"43",1992-07-01,3.6
"44",1992-08-01,3
"45",1992-09-01,3
"46",1992-10-01,2.9
"47",1992-11-01,2.6
"48",1992-12-01,2.6
"49",1993-01-01,2.2
"50",1993-02-01,2.4
"51",1993-03-01,2.5
"52",1993-04-01,2.5
"53",1993-05-01,2.5
"54",1993-06-01,2.4
"55",1993-07-01,2.6
"56",1993-08-01,2.9
"57",1993-09-01,3.1
"58",1993-10-01,2.6
"59",1993-11-01,2.3
"60",1993-12-01,2.4
"61",1994-01-01,2.7
"62",1994-02-01,2.5
"63",1994-03-01,2.2
"64",1994-04-01,2
"65",1994-05-01,2
"66",1994-06-01,2
"67",1994-07-01,1.7
"68",1994-08-01,1.9
"69",1994-09-01,1.5
"70",1994-10-01,1.5
"71",1994-11-01,1.8
"72",1994-12-01,2
"73",1995-01-01,2.4
"74",1995-02-01,2.4
"75",1995-03-01,2.6
"76",1995-04-01,2.3
"77",1995-05-01,2.5
"78",1995-06-01,2.6
"79",1995-07-01,2.7
"80",1995-08-01,2.6
"81",1995-09-01,3
"82",1995-10-01,2.9
"83",1995-11-01,2.8
"84",1995-12-01,3
"85",1996-01-01,2.6
"86",1996-02-01,2.7
"87",1996-03-01,2.6
"88",1996-04-01,2.5
"89",1996-05-01,2.3
"90",1996-06-01,2.3
"91",1996-07-01,2.2
"92",1996-08-01,2.3
"93",1996-09-01,2.3
"94",1996-10-01,2.5
"95",1996-11-01,2.6
"96",1996-12-01,2.3
"97",1997-01-01,2.1
"98",1997-02-01,1.9
"99",1997-03-01,1.7
"100",1997-04-01,1.6
"101",1997-05-01,1.6
"102",1997-06-01,1.7
"103",1997-07-01,2
"104",1997-08-01,2
"105",1997-09-01,1.8
"106",1997-10-01,1.9
"107",1997-11-01,1.9
"108",1997-12-01,1.7
"109",1998-01-01,1.5
"110",1998-02-01,1.6
"111",1998-03-01,1.7
"112",1998-04-01,1.8
"113",1998-05-01,2
"114",1998-06-01,1.7
"115",1998-07-01,1.4
"116",1998-08-01,1.3
"117",1998-09-01,1.4
"118",1998-10-01,1.4
"119",1998-11-01,1.4
"120",1998-12-01,1.6
"121",1999-01-01,1.6
"122",1999-02-01,1.4
"123",1999-03-01,1.7
"124",1999-04-01,1.5
"125",1999-05-01,1.3
"126",1999-06-01,1.3
"127",1999-07-01,1.3
"128",1999-08-01,1.2
"129",1999-09-01,1.2
"130",1999-10-01,1.1
"131",1999-11-01,1.2
"132",1999-12-01,1.1
"133",2000-01-01,0.8
"134",2000-02-01,0.9
"135",2000-03-01,0.6
"136",2000-04-01,0.6
"137",2000-05-01,0.5
"138",2000-06-01,0.8
"139",2000-07-01,0.9
"140",2000-08-01,0.6
"141",2000-09-01,1
"142",2000-10-01,1
"143",2000-11-01,1.1
"144",2000-12-01,0.8
"145",2001-01-01,0.9
"146",2001-02-01,0.8
"147",2001-03-01,0.9
"148",2001-04-01,1.2
"149",2001-05-01,1.7
"150",2001-06-01,1.7
"151",2001-07-01,1.4
"152",2001-08-01,1.8
"153",2001-09-01,1.3
"154",2001-10-01,1.2
"155",2001-11-01,0.8
"156",2001-12-01,1.1
"157",2002-01-01,1.6
"158",2002-02-01,1.5
"159",2002-03-01,1.5
"160",2002-04-01,1.4
"161",2002-05-01,0.8
"162",2002-06-01,0.6
"163",2002-07-01,1.1
"164",2002-08-01,1
"165",2002-09-01,1
"166",2002-10-01,1.4
"167",2002-11-01,1.5
"168",2002-12-01,1.7
"169",2003-01-01,1.3
"170",2003-02-01,1.6
"171",2003-03-01,1.5
"172",2003-04-01,1.4
"173",2003-05-01,1.3
"174",2003-06-01,1.1
"175",2003-07-01,1.3
"176",2003-08-01,1.4
"177",2003-09-01,1.4
"178",2003-10-01,1.4
"179",2003-11-01,1.3
"180",2003-12-01,1.3
"181",2004-01-01,1.4
"182",2004-02-01,1.3
"183",2004-03-01,1.1
"184",2004-04-01,1.1
"185",2004-05-01,1.5
"186",2004-06-01,1.6
"187",2004-07-01,1.4
"188",2004-08-01,1.3
"189",2004-09-01,1.1
"190",2004-10-01,1.2
"191",2004-11-01,1.5
"192",2004-12-01,1.7
"193",2005-01-01,1.6
"194",2005-02-01,1.7
"195",2005-03-01,1.9
"196",2005-04-01,1.9
"197",2005-05-01,1.9
"198",2005-06-01,2
"199",2005-07-01,2.3
"200",2005-08-01,2.4
"201",2005-09-01,2.5
"202",2005-10-01,2.3
"203",2005-11-01,2.1
"204",2005-12-01,1.9
"205",2006-01-01,1.9
"206",2006-02-01,2
"207",2006-03-01,1.8
"208",2006-04-01,2
"209",2006-05-01,2.2
"210",2006-06-01,2.5
"211",2006-07-01,2.4
"212",2006-08-01,2.5
"213",2006-09-01,2.4
"214",2006-10-01,2.4
"215",2006-11-01,2.7
"216",2006-12-01,3
"217",2007-01-01,2.7
"218",2007-02-01,2.8
"219",2007-03-01,3.1
"220",2007-04-01,2.8
"221",2007-05-01,2.5
"222",2007-06-01,2.4
"223",2007-07-01,1.9
"224",2007-08-01,1.8
"225",2007-09-01,1.8
"226",2007-10-01,2.1
"227",2007-11-01,2.1
"228",2007-12-01,2.1
"229",2008-01-01,2.2
"230",2008-02-01,2.5
"231",2008-03-01,2.5
"232",2008-04-01,3
"233",2008-05-01,3.3
"234",2008-06-01,3.8
"235",2008-07-01,4.4
"236",2008-08-01,4.7
"237",2008-09-01,5.2
"238",2008-10-01,4.5
"239",2008-11-01,4.1
"240",2008-12-01,3.1
"241",2009-01-01,3
"242",2009-02-01,3.2
"243",2009-03-01,2.9
"244",2009-04-01,2.3
"245",2009-05-01,2.2
"246",2009-06-01,1.8
"247",2009-07-01,1.8
"248",2009-08-01,1.6
"249",2009-09-01,1.1
"250",2009-10-01,1.5
"251",2009-11-01,1.9
"252",2009-12-01,2.9
"253",2010-01-01,3.5
"254",2010-02-01,3
"255",2010-03-01,3.4
"256",2010-04-01,3.7
"257",2010-05-01,3.4
"258",2010-06-01,3.2
"259",2010-07-01,3.1
"260",2010-08-01,3.1
"261",2010-09-01,3.1
"262",2010-10-01,3.2
"263",2010-11-01,3.3
"264",2010-12-01,3.7
"265",2011-01-01,4
"266",2011-02-01,4.4
"267",2011-03-01,4
"268",2011-04-01,4.5
"269",2011-05-01,4.5
"270",2011-06-01,4.2
"271",2011-07-01,4.4
"272",2011-08-01,4.5
"273",2011-09-01,5.2
"274",2011-10-01,5
"275",2011-11-01,4.8
"276",2011-12-01,4.2
"277",2012-01-01,3.6
"278",2012-02-01,3.4
"279",2012-03-01,3.5
"280",2012-04-01,3
"281",2012-05-01,2.8
"282",2012-06-01,2.4
"283",2012-07-01,2.6
"284",2012-08-01,2.5
"285",2012-09-01,2.2
"286",2012-10-01,2.7
"287",2012-11-01,2.7
"288",2012-12-01,2.7
"289",2013-01-01,2.7
"290",2013-02-01,2.8
"291",2013-03-01,2.8
"292",2013-04-01,2.4
"293",2013-05-01,2.7
"294",2013-06-01,2.9
"295",2013-07-01,2.8
"296",2013-08-01,2.7
"297",2013-09-01,2.7
"298",2013-10-01,2.2
"299",2013-11-01,2.1
"300",2013-12-01,2
"301",2014-01-01,1.9
"302",2014-02-01,1.7
"303",2014-03-01,1.6
"304",2014-04-01,1.8
"305",2014-05-01,1.5
"306",2014-06-01,1.9
"307",2014-07-01,1.6
"308",2014-08-01,1.5
"309",2014-09-01,1.2
"310",2014-10-01,1.3
"311",2014-11-01,1
"312",2014-12-01,0.5
"313",2015-01-01,0.3
"314",2015-02-01,0
"315",2015-03-01,0
"316",2015-04-01,-0.1
"317",2015-05-01,0.1
"318",2015-06-01,0
"319",2015-07-01,0.1
"320",2015-08-01,0
"321",2015-09-01,-0.1
"322",2015-10-01,-0.1
"323",2015-11-01,0.1
"324",2015-12-01,0.2
"325",2016-01-01,0.3
"326",2016-02-01,0.3
"327",2016-03-01,0.5
"328",2016-04-01,0.3
"329",2016-05-01,0.3
"330",2016-06-01,0.5
"331",2016-07-01,0.6
"332",2016-08-01,0.6
"333",2016-09-01,1
"334",2016-10-01,0.9
"335",2016-11-01,1.2
"336",2016-12-01,1.6
"337",2017-01-01,1.8
"338",2017-02-01,2.3
"339",2017-03-01,2.3
"340",2017-04-01,2.7
"341",2017-05-01,2.9
"342",2017-06-01,2.6
"343",2017-07-01,2.6
"344",2017-08-01,2.9
"345",2017-09-01,3
"346",2017-10-01,3
"347",2017-11-01,3.1
"348",2017-12-01,3
"349",2018-01-01,3
"350",2018-02-01,2.7
"351",2018-03-01,2.5
"352",2018-04-01,2.4
"353",2018-05-01,2.4
"354",2018-06-01,2.4
"355",2018-07-01,2.5
"356",2018-08-01,2.7
"357",2018-09-01,2.4
"358",2018-10-01,2.4
"359",2018-11-01,2.3
"360",2018-12-01,2.1
"361",2019-01-01,1.8
"362",2019-02-01,1.9
"363",2019-03-01,1.9
"364",2019-04-01,2.1
"365",2019-05-01,2
"366",2019-06-01,2
"367",2019-07-01,2.1
"368",2019-08-01,1.7
"369",2019-09-01,1.7
"370",2019-10-01,1.5
"371",2019-11-01,1.5
"372",2019-12-01,1.3
"373",2020-01-01,1.8
"374",2020-02-01,1.7
"375",2020-03-01,1.5
"376",2020-04-01,0.8
"377",2020-05-01,0.5
"378",2020-06-01,0.6
"379",2020-07-01,1
"380",2020-08-01,0.2
"381",2020-09-01,0.5
"382",2020-10-01,0.7
"383",2020-11-01,0.3
"384",2020-12-01,0.6
"385",2021-01-01,0.7
"386",2021-02-01,0.4
"387",2021-03-01,0.7
"388",2021-04-01,1.5
"389",2021-05-01,2.1
"390",2021-06-01,2.5
"391",2021-07-01,2
"392",2021-08-01,3.2
"393",2021-09-01,3.1
"394",2021-10-01,4.2
