"","CPI ANNUAL RATE 00: ALL ITEMS 2015=100"
"1",4.9
"2",5
"3",5
"4",5.3
"5",5.3
"6",5.2
"7",5.2
"8",5
"9",5.2
"10",5.5
"11",5.5
"12",5.5
"13",5.7
"14",5.9
"15",6
"16",6.4
"17",6.8
"18",6.9
"19",6.8
"20",7.7
"21",8.1
"22",8.1
"23",7.8
"24",7.6
"25",7.1
"26",7
"27",6.9
"28",8.4
"29",8.2
"30",8.4
"31",8.3
"32",7.9
"33",7.1
"34",6.8
"35",7.1
"36",7.2
"37",7
"38",6.9
"39",7.1
"40",4.7
"41",4.3
"42",3.8
"43",3.6
"44",3
"45",3
"46",2.9
"47",2.6
"48",2.6
"49",2.2
"50",2.4
"51",2.5
"52",2.5
"53",2.5
"54",2.4
"55",2.6
"56",2.9
"57",3.1
"58",2.6
"59",2.3
"60",2.4
"61",2.7
"62",2.5
"63",2.2
"64",2
"65",2
"66",2
"67",1.7
"68",1.9
"69",1.5
"70",1.5
"71",1.8
"72",2
"73",2.4
"74",2.4
"75",2.6
"76",2.3
"77",2.5
"78",2.6
"79",2.7
"80",2.6
"81",3
"82",2.9
"83",2.8
"84",3
"85",2.6
"86",2.7
"87",2.6
"88",2.5
"89",2.3
"90",2.3
"91",2.2
"92",2.3
"93",2.3
"94",2.5
"95",2.6
"96",2.3
"97",2.1
"98",1.9
"99",1.7
"100",1.6
"101",1.6
"102",1.7
"103",2
"104",2
"105",1.8
"106",1.9
"107",1.9
"108",1.7
"109",1.5
"110",1.6
"111",1.7
"112",1.8
"113",2
"114",1.7
"115",1.4
"116",1.3
"117",1.4
"118",1.4
"119",1.4
"120",1.6
"121",1.6
"122",1.4
"123",1.7
"124",1.5
"125",1.3
"126",1.3
"127",1.3
"128",1.2
"129",1.2
"130",1.1
"131",1.2
"132",1.1
"133",0.8
"134",0.9
"135",0.6
"136",0.6
"137",0.5
"138",0.8
"139",0.9
"140",0.6
"141",1
"142",1
"143",1.1
"144",0.8
"145",0.9
"146",0.8
"147",0.9
"148",1.2
"149",1.7
"150",1.7
"151",1.4
"152",1.8
"153",1.3
"154",1.2
"155",0.8
"156",1.1
"157",1.6
"158",1.5
"159",1.5
"160",1.4
"161",0.8
"162",0.6
"163",1.1
"164",1
"165",1
"166",1.4
"167",1.5
"168",1.7
"169",1.3
"170",1.6
"171",1.5
"172",1.4
"173",1.3
"174",1.1
"175",1.3
"176",1.4
"177",1.4
"178",1.4
"179",1.3
"180",1.3
"181",1.4
"182",1.3
"183",1.1
"184",1.1
"185",1.5
"186",1.6
"187",1.4
"188",1.3
"189",1.1
"190",1.2
"191",1.5
"192",1.7
"193",1.6
"194",1.7
"195",1.9
"196",1.9
"197",1.9
"198",2
"199",2.3
"200",2.4
"201",2.5
"202",2.3
"203",2.1
"204",1.9
"205",1.9
"206",2
"207",1.8
"208",2
"209",2.2
"210",2.5
"211",2.4
"212",2.5
"213",2.4
"214",2.4
"215",2.7
"216",3
"217",2.7
"218",2.8
"219",3.1
"220",2.8
"221",2.5
"222",2.4
"223",1.9
"224",1.8
"225",1.8
"226",2.1
"227",2.1
"228",2.1
"229",2.2
"230",2.5
"231",2.5
"232",3
"233",3.3
"234",3.8
"235",4.4
"236",4.7
"237",5.2
"238",4.5
"239",4.1
"240",3.1
"241",3
"242",3.2
"243",2.9
"244",2.3
"245",2.2
"246",1.8
"247",1.8
"248",1.6
"249",1.1
"250",1.5
"251",1.9
"252",2.9
"253",3.5
"254",3
"255",3.4
"256",3.7
"257",3.4
"258",3.2
"259",3.1
"260",3.1
"261",3.1
"262",3.2
"263",3.3
"264",3.7
"265",4
"266",4.4
"267",4
"268",4.5
"269",4.5
"270",4.2
"271",4.4
"272",4.5
"273",5.2
"274",5
"275",4.8
"276",4.2
"277",3.6
"278",3.4
"279",3.5
"280",3
"281",2.8
"282",2.4
"283",2.6
"284",2.5
"285",2.2
"286",2.7
"287",2.7
"288",2.7
"289",2.7
"290",2.8
"291",2.8
"292",2.4
"293",2.7
"294",2.9
"295",2.8
"296",2.7
"297",2.7
"298",2.2
"299",2.1
"300",2
"301",1.9
"302",1.7
"303",1.6
"304",1.8
"305",1.5
"306",1.9
"307",1.6
"308",1.5
"309",1.2
"310",1.3
"311",1
"312",0.5
"313",0.3
"314",0
"315",0
"316",-0.1
"317",0.1
"318",0
"319",0.1
"320",0
"321",-0.1
"322",-0.1
"323",0.1
"324",0.2
"325",0.3
"326",0.3
"327",0.5
"328",0.3
"329",0.3
"330",0.5
"331",0.6
"332",0.6
"333",1
"334",0.9
"335",1.2
"336",1.6
"337",1.8
"338",2.3
"339",2.3
"340",2.7
"341",2.9
"342",2.6
"343",2.6
"344",2.9
"345",3
"346",3
"347",3.1
"348",3
"349",3
"350",2.7
"351",2.5
"352",2.4
"353",2.4
"354",2.4
"355",2.5
"356",2.7
"357",2.4
"358",2.4
"359",2.3
"360",2.1
"361",1.8
"362",1.9
"363",1.9
"364",2.1
"365",2
"366",2
"367",2.1
"368",1.7
"369",1.7
"370",1.5
"371",1.5
"372",1.3
"373",1.8
"374",1.7
"375",1.5
"376",0.8
"377",0.5
"378",0.6
"379",1
"380",0.2
"381",0.5
"382",0.7
"383",0.3
"384",0.6
"385",0.7
"386",0.4
"387",0.7
"388",1.5
"389",2.1
"390",2.5
"391",2
"392",3.2
"393",3.1
"394",4.2
