"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","PPI","TOT_MKT","IDX2015","M","2008-12",97.6,
"GBR","PPI","TOT_MKT","IDX2015","M","2009-01",97.8,
"GBR","PPI","TOT_MKT","IDX2015","M","2009-02",97,
"GBR","PPI","TOT_MKT","IDX2015","M","2009-03",97.5,
"GBR","PPI","TOT_MKT","IDX2015","M","2009-04",96.7,
"GBR","PPI","TOT_MKT","IDX2015","M","2009-05",96.5,
"GBR","PPI","TOT_MKT","IDX2015","M","2009-06",95.8,
"GBR","PPI","TOT_MKT","IDX2015","M","2009-07",95.6,
"GBR","PPI","TOT_MKT","IDX2015","M","2009-08",95.7,
"GBR","PPI","TOT_MKT","IDX2015","M","2009-09",96.6,
"GBR","PPI","TOT_MKT","IDX2015","M","2009-10",97.3,
"GBR","PPI","TOT_MKT","IDX2015","M","2009-11",96.9,
"GBR","PPI","TOT_MKT","IDX2015","M","2009-12",97.7,
"GBR","PPI","TOT_MKT","IDX2015","M","2010-01",98,
"GBR","PPI","TOT_MKT","IDX2015","M","2010-02",98.4,
"GBR","PPI","TOT_MKT","IDX2015","M","2010-03",100,
"GBR","PPI","TOT_MKT","IDX2015","M","2010-04",100.1,
"GBR","PPI","TOT_MKT","IDX2015","M","2010-05",98.8,
"GBR","PPI","TOT_MKT","IDX2015","M","2010-06",98.4,
"GBR","PPI","TOT_MKT","IDX2015","M","2010-07",98.1,
"GBR","PPI","TOT_MKT","IDX2015","M","2010-08",97.8,
"GBR","PPI","TOT_MKT","IDX2015","M","2010-09",98.3,
"GBR","PPI","TOT_MKT","IDX2015","M","2010-10",99.2,
"GBR","PPI","TOT_MKT","IDX2015","M","2010-11",99.2,
"GBR","PPI","TOT_MKT","IDX2015","M","2010-12",100,
"GBR","PPI","TOT_MKT","IDX2015","M","2011-01",100.9,
"GBR","PPI","TOT_MKT","IDX2015","M","2011-02",101.2,
"GBR","PPI","TOT_MKT","IDX2015","M","2011-03",102.7,
"GBR","PPI","TOT_MKT","IDX2015","M","2011-04",103.7,
"GBR","PPI","TOT_MKT","IDX2015","M","2011-05",103.6,
"GBR","PPI","TOT_MKT","IDX2015","M","2011-06",104.1,
"GBR","PPI","TOT_MKT","IDX2015","M","2011-07",104.2,
"GBR","PPI","TOT_MKT","IDX2015","M","2011-08",103.8,
"GBR","PPI","TOT_MKT","IDX2015","M","2011-09",104.4,
"GBR","PPI","TOT_MKT","IDX2015","M","2011-10",104.3,
"GBR","PPI","TOT_MKT","IDX2015","M","2011-11",104.2,
"GBR","PPI","TOT_MKT","IDX2015","M","2011-12",104,
"GBR","PPI","TOT_MKT","IDX2015","M","2012-01",108.5,
"GBR","PPI","TOT_MKT","IDX2015","M","2012-02",109.2,
"GBR","PPI","TOT_MKT","IDX2015","M","2012-03",109.9,
"GBR","PPI","TOT_MKT","IDX2015","M","2012-04",109.8,
"GBR","PPI","TOT_MKT","IDX2015","M","2012-05",109.5,
"GBR","PPI","TOT_MKT","IDX2015","M","2012-06",108,
"GBR","PPI","TOT_MKT","IDX2015","M","2012-07",106.2,
"GBR","PPI","TOT_MKT","IDX2015","M","2012-08",108.5,
"GBR","PPI","TOT_MKT","IDX2015","M","2012-09",109.1,
"GBR","PPI","TOT_MKT","IDX2015","M","2012-10",109.2,
"GBR","PPI","TOT_MKT","IDX2015","M","2012-11",109.5,
"GBR","PPI","TOT_MKT","IDX2015","M","2012-12",109,
"GBR","PPI","TOT_MKT","IDX2015","M","2013-01",110,
"GBR","PPI","TOT_MKT","IDX2015","M","2013-02",111.6,
"GBR","PPI","TOT_MKT","IDX2015","M","2013-03",112,
"GBR","PPI","TOT_MKT","IDX2015","M","2013-04",113.3,
"GBR","PPI","TOT_MKT","IDX2015","M","2013-05",112.2,
"GBR","PPI","TOT_MKT","IDX2015","M","2013-06",113.1,
"GBR","PPI","TOT_MKT","IDX2015","M","2013-07",113.7,
"GBR","PPI","TOT_MKT","IDX2015","M","2013-08",113.5,
"GBR","PPI","TOT_MKT","IDX2015","M","2013-09",113.1,
"GBR","PPI","TOT_MKT","IDX2015","M","2013-10",112.3,
"GBR","PPI","TOT_MKT","IDX2015","M","2013-11",111,
"GBR","PPI","TOT_MKT","IDX2015","M","2013-12",111.7,
"GBR","PPI","TOT_MKT","IDX2015","M","2014-01",104.6,
"GBR","PPI","TOT_MKT","IDX2015","M","2014-02",104.6,
"GBR","PPI","TOT_MKT","IDX2015","M","2014-03",104.8,
"GBR","PPI","TOT_MKT","IDX2015","M","2014-04",104.4,
"GBR","PPI","TOT_MKT","IDX2015","M","2014-05",104,
"GBR","PPI","TOT_MKT","IDX2015","M","2014-06",103.6,
"GBR","PPI","TOT_MKT","IDX2015","M","2014-07",103,
"GBR","PPI","TOT_MKT","IDX2015","M","2014-08",103.3,
"GBR","PPI","TOT_MKT","IDX2015","M","2014-09",103.3,
"GBR","PPI","TOT_MKT","IDX2015","M","2014-10",103,
"GBR","PPI","TOT_MKT","IDX2015","M","2014-11",102.8,
"GBR","PPI","TOT_MKT","IDX2015","M","2014-12",102.5,
"GBR","PPI","TOT_MKT","IDX2015","M","2015-01",102.3,
"GBR","PPI","TOT_MKT","IDX2015","M","2015-02",101.6,
"GBR","PPI","TOT_MKT","IDX2015","M","2015-03",102.2,
"GBR","PPI","TOT_MKT","IDX2015","M","2015-04",102.2,
"GBR","PPI","TOT_MKT","IDX2015","M","2015-05",99.8,
"GBR","PPI","TOT_MKT","IDX2015","M","2015-06",99.3,
"GBR","PPI","TOT_MKT","IDX2015","M","2015-07",98.8,
"GBR","PPI","TOT_MKT","IDX2015","M","2015-08",98.6,
"GBR","PPI","TOT_MKT","IDX2015","M","2015-09",98.9,
"GBR","PPI","TOT_MKT","IDX2015","M","2015-10",99.1,
"GBR","PPI","TOT_MKT","IDX2015","M","2015-11",98.4,
"GBR","PPI","TOT_MKT","IDX2015","M","2015-12",98.8,
"GBR","PPI","TOT_MKT","IDX2015","M","2016-01",99.9,
"GBR","PPI","TOT_MKT","IDX2015","M","2016-02",100.3,
"GBR","PPI","TOT_MKT","IDX2015","M","2016-03",100.6,
"GBR","PPI","TOT_MKT","IDX2015","M","2016-04",101,
"GBR","PPI","TOT_MKT","IDX2015","M","2016-05",100.6,
"GBR","PPI","TOT_MKT","IDX2015","M","2016-06",101.4,
"GBR","PPI","TOT_MKT","IDX2015","M","2016-07",103.9,
"GBR","PPI","TOT_MKT","IDX2015","M","2016-08",104.3,
"GBR","PPI","TOT_MKT","IDX2015","M","2016-09",104.4,
"GBR","PPI","TOT_MKT","IDX2015","M","2016-10",106.7,
"GBR","PPI","TOT_MKT","IDX2015","M","2016-11",105.9,
"GBR","PPI","TOT_MKT","IDX2015","M","2016-12",105.7,
"GBR","PPI","TOT_MKT","IDX2015","M","2017-01",106.6,
"GBR","PPI","TOT_MKT","IDX2015","M","2017-02",106.5,
"GBR","PPI","TOT_MKT","IDX2015","M","2017-03",107.1,
"GBR","PPI","TOT_MKT","IDX2015","M","2017-04",106.6,
"GBR","PPI","TOT_MKT","IDX2015","M","2017-05",106.6,
"GBR","PPI","TOT_MKT","IDX2015","M","2017-06",107.2,
"GBR","PPI","TOT_MKT","IDX2015","M","2017-07",107.3,
"GBR","PPI","TOT_MKT","IDX2015","M","2017-08",108.2,
"GBR","PPI","TOT_MKT","IDX2015","M","2017-09",107.9,
"GBR","PPI","TOT_MKT","IDX2015","M","2017-10",108.1,
"GBR","PPI","TOT_MKT","IDX2015","M","2017-11",108.5,
"GBR","PPI","TOT_MKT","IDX2015","M","2017-12",108.2,
"GBR","PPI","TOT_MKT","IDX2015","M","2018-01",108.2,
"GBR","PPI","TOT_MKT","IDX2015","M","2018-02",108.1,
"GBR","PPI","TOT_MKT","IDX2015","M","2018-03",108.2,
"GBR","PPI","TOT_MKT","IDX2015","M","2018-04",108.3,
"GBR","PPI","TOT_MKT","IDX2015","M","2018-05",109.7,
"GBR","PPI","TOT_MKT","IDX2015","M","2018-06",110.3,
"GBR","PPI","TOT_MKT","IDX2015","M","2018-07",110.5,
"GBR","PPI","TOT_MKT","IDX2015","M","2018-08",111.5,
"GBR","PPI","TOT_MKT","IDX2015","M","2018-09",111.8,
"GBR","PPI","TOT_MKT","IDX2015","M","2018-10",112,
"GBR","PPI","TOT_MKT","IDX2015","M","2018-11",112.1,
"GBR","PPI","TOT_MKT","IDX2015","M","2018-12",112.3,
"GBR","PPI","TOT_MKT","IDX2015","M","2019-01",111.7,
"GBR","PPI","TOT_MKT","IDX2015","M","2019-02",111.3,
