DATE,GBRCPIALLMINMEI_PCH
1993-01-01,-0.31949
1993-02-01,0.48077
1993-03-01,0.47847
1993-04-01,0.63492
1993-05-01,0.31546
1993-06-01,0.00000
1993-07-01,-0.31447
1993-08-01,0.47319
1993-09-01,0.47096
1993-10-01,0.00000
1993-11-01,-0.31250
1993-12-01,0.31348
1994-01-01,0.00000
1994-02-01,0.31250
1994-03-01,0.31153
1994-04-01,0.77640
1994-05-01,0.30817
1994-06-01,0.00000
1994-07-01,-0.61444
1994-08-01,0.61824
1994-09-01,0.15361
1994-10-01,-0.15337
1994-11-01,0.15361
1994-12-01,0.46012
1995-01-01,0.00000
1995-02-01,0.30534
1995-03-01,0.45662
1995-04-01,0.60606
1995-05-01,0.45181
1995-06-01,0.14993
1995-07-01,-0.29940
1995-08-01,0.45045
1995-09-01,0.44843
1995-10-01,-0.14881
1995-11-01,0.00000
1995-12-01,0.59613
1996-01-01,-0.14815
1996-02-01,0.44510
1996-03-01,0.29542
1996-04-01,0.58910
1996-05-01,0.43924
1996-06-01,0.14577
1996-07-01,-0.58224
1996-08-01,0.58565
1996-09-01,0.43668
1996-10-01,0.14493
1996-11-01,0.14472
1996-12-01,0.28902
1997-01-01,-0.28818
1997-02-01,0.14451
1997-03-01,0.14430
1997-04-01,0.43228
1997-05-01,0.43042
1997-06-01,0.14286
1997-07-01,-0.14265
1997-08-01,0.42857
1997-09-01,0.28450
1997-10-01,0.14184
1997-11-01,0.00000
1997-12-01,0.14164
1998-01-01,-0.42433
1998-02-01,0.28409
1998-03-01,0.28329
1998-04-01,0.56497
1998-05-01,0.42135
1998-06-01,-0.13986
1998-07-01,-0.28011
1998-08-01,0.28090
1998-09-01,0.42017
1998-10-01,0.00000
1998-11-01,0.13947
1998-12-01,0.27855
1999-01-01,-0.27778
1999-02-01,0.13928
1999-03-01,0.55633
1999-04-01,0.41494
1999-05-01,0.27548
1999-06-01,-0.13736
1999-07-01,-0.41265
1999-08-01,0.27624
1999-09-01,0.27548
1999-10-01,0.00000
1999-11-01,0.13736
1999-12-01,0.27435
2000-01-01,-0.68399
2000-02-01,0.27548
2000-03-01,0.27473
2000-04-01,0.41096
2000-05-01,0.27285
2000-06-01,0.13605
2000-07-01,-0.40761
2000-08-01,0.00000
2000-09-01,0.68213
2000-10-01,0.00000
2000-11-01,0.27100
2000-12-01,0.00000
2001-01-01,-0.67568
2001-02-01,0.27211
2001-03-01,0.27137
2001-04-01,0.67659
2001-05-01,0.67204
2001-06-01,0.13351
2001-07-01,-0.66667
2001-08-01,0.40268
2001-09-01,0.26738
2001-10-01,-0.13333
2001-11-01,0.00000
2001-12-01,0.13351
2002-01-01,-0.26667
2002-02-01,0.26738
2002-03-01,0.26667
2002-04-01,0.53191
2002-05-01,0.26455
2002-06-01,0.00000
2002-07-01,-0.26385
2002-08-01,0.26455
2002-09-01,0.26385
2002-10-01,0.13158
2002-11-01,0.00000
2002-12-01,0.26281
2003-01-01,-0.52425
2003-02-01,0.26350
2003-03-01,0.39422
2003-04-01,0.52356
2003-05-01,0.00000
2003-06-01,-0.13021
2003-07-01,-0.13038
2003-08-01,0.26110
2003-09-01,0.26042
2003-10-01,0.12987
2003-11-01,0.00000
2003-12-01,0.25940
2004-01-01,-0.38810
2004-02-01,0.25974
2004-03-01,0.12953
2004-04-01,0.38810
2004-05-01,0.38660
2004-06-01,0.00000
2004-07-01,-0.25674
