"";"02AT";"03CF";"08CM";"10ED";"01FB";"05FH";"06HL";"04HW";"12MS";"09RC";"11RH";"07TR"
"02AT";" 1.000";"";"";"";"";"";"";"";"";"";"";""
"03CF";" 0.081";" 1.000";"";"";"";"";"";"";"";"";"";""
"08CM";"-0.227";"-0.188";" 1.000";"";"";"";"";"";"";"";"";""
"10ED";"-0.100";"-0.101";"-0.068";" 1.000";"";"";"";"";"";"";"";""
"01FB";"-0.136";"-0.278";" 0.054";" 0.137";" 1.000";"";"";"";"";"";"";""
"05FH";" 0.178";" 0.157";"-0.131";"-0.220";" 0.081";" 1.000";"";"";"";"";"";""
"06HL";"-0.313";"-0.200";" 0.108";" 0.078";"-0.113";"-0.044";" 1.000";"";"";"";"";""
"04HW";"-0.407";"-0.301";"-0.187";"-0.082";"-0.075";"-0.290";" 0.132";" 1.000";"";"";"";""
"12MS";"-0.079";" 0.170";"-0.188";"-0.093";"-0.027";"-0.127";" 0.034";" 0.042";" 1.000";"";"";""
"09RC";" 0.016";"-0.272";"-0.056";"-0.173";" 0.002";"-0.164";"-0.216";"-0.087";"-0.211";" 1.000";"";""
"11RH";" 0.124";"-0.053";"-0.119";"-0.152";" 0.021";"-0.216";"-0.433";" 0.068";"-0.011";" 0.325";" 1.000";""
"07TR";"-0.091";"-0.048";"-0.100";"-0.055";"-0.040";"-0.025";"-0.307";"-0.066";"-0.262";"-0.082";"-0.224";" 1.000"
