"","Date","CPI-trim (5%)"
"1","2005m1",0.05252897
"2","2005m2",0.145762323
"3","2005m3",0.185242469
"4","2005m4",0.190299827
"5","2005m5",-0.277574895
"6","2005m6",0.710095885
"7","2005m7",0.676570546
"8","2005m8",0.735076644
"9","2005m9",0.645728374
"10","2005m10",0.576494395
"11","2005m11",0.596815462
"12","2005m12",0.612111715
"13","2006m1",0.669955579
"14","2006m2",0.718158752
"15","2006m3",0.603435289
"16","2006m4",0.692319785
"17","2006m5",1.376414158
"18","2006m6",0.546955894
"19","2006m7",0.722253254
"20","2006m8",0.854271049
"21","2006m9",0.945010207
"22","2006m10",0.999847584
"23","2006m11",1.058644311
"24","2006m12",1.075991347
"25","2007m1",1.179803962
"26","2007m2",1.274345766
"27","2007m3",1.427853055
"28","2007m4",1.533353805
"29","2007m5",1.377657548
"30","2007m6",1.348874566
"31","2007m7",1.169687844
"32","2007m8",0.981537603
"33","2007m9",1.226034399
"34","2007m10",1.313470486
"35","2007m11",1.443293561
"36","2007m12",1.561312105
"37","2008m1",1.600238325
"38","2008m2",1.534493967
"39","2008m3",1.532511172
"40","2008m4",1.839519325
"41","2008m5",2.087104922
"42","2008m6",2.489636196
"43","2008m7",2.837908892
"44","2008m8",3.158574579
"45","2008m9",3.089069164
"46","2008m10",3.047977218
"47","2008m11",3.09264244
"48","2008m12",2.175888534
"49","2009m1",2.27259165
"50","2009m2",3.284426692
"51","2009m3",3.283499126
"52","2009m4",2.767505657
"53","2009m5",2.649945929
"54","2009m6",2.158654527
"55","2009m7",1.800898483
"56","2009m8",1.595902796
"57","2009m9",1.418360069
"58","2009m10",1.431372065
"59","2009m11",1.240852719
"60","2009m12",2.194108361
"61","2010m1",2.442774558
"62","2010m2",1.615009142
"63","2010m3",1.618170737
"64","2010m4",1.874173577
"65","2010m5",1.68475961
"66","2010m6",1.647831553
"67","2010m7",1.752347654
"68","2010m8",1.836316246
"69","2010m9",2.2610832
"70","2010m10",2.095934178
"71","2010m11",2.530995928
"72","2010m12",2.521998367
"73","2011m1",2.867792847
"74","2011m2",3.253893859
"75","2011m3",3.06690338
"76","2011m4",3.000916407
"77","2011m5",3.179132565
"78","2011m6",3.293527954
"79","2011m7",3.453254338
"80","2011m8",3.630154668
"81","2011m9",3.507002545
"82","2011m10",3.40219804
"83","2011m11",2.912838377
"84","2011m12",2.669783919
"85","2012m1",1.997832596
"86","2012m2",1.882117894
"87","2012m3",2.02231756
"88","2012m4",1.799860212
"89","2012m5",1.564722424
"90","2012m6",1.174991213
"91","2012m7",1.039683982
"92","2012m8",0.753820537
"93","2012m9",0.481555647
"94","2012m10",0.730986348
"95","2012m11",0.924306141
"96","2012m12",1.118367357
"97","2013m1",0.990645638
"98","2013m2",0.679796685
"99","2013m3",0.671320422
"100","2013m4",0.691699974
"101","2013m5",0.757755332
"102","2013m6",0.964194253
"103","2013m7",0.881529747
"104","2013m8",0.977403771
"105","2013m9",1.12476442
"106","2013m10",1.034148025
"107","2013m11",0.777864997
"108","2013m12",0.577707098
"109","2014m1",0.592845664
"110","2014m2",0.552489694
"111","2014m3",0.44330733
"112","2014m4",0.174061745
"113","2014m5",-0.031724923
"114","2014m6",0.044909227
"115","2014m7",-0.338969224
"116","2014m8",-0.349374768
"117","2014m9",-0.413018683
"118","2014m10",-0.54691143
"119","2014m11",-0.722686066
"120","2014m12",-0.832984562
"121","2015m1",-1.124298639
"122","2015m2",-1.279114732
"123","2015m3",-1.387305701
"124","2015m4",-1.27620631
"125","2015m5",-1.185670086
"126","2015m6",-1.196559054
"127","2015m7",-1.11738877
"128","2015m8",-1.171565672
"129","2015m9",-1.280930228
"130","2015m10",-1.126153199
"131","2015m11",-1.051395597
"132","2015m12",-1.065291604
"133","2016m1",-0.899676878
"134","2016m2",-0.982344816
"135","2016m3",-0.86990331
"136","2016m4",-0.953389504
"137","2016m5",-1.091822552
"138","2016m6",-1.163010091
"139","2016m7",-0.959368332
"140","2016m8",-0.997144144
"141","2016m9",-0.771682802
"142","2016m10",-0.811872628
"143","2016m11",-0.471386658
"144","2016m12",-0.200533947
"145","2017m1",0.111697892
"146","2017m2",0.934401435
"147","2017m3",1.140366248
"148","2017m4",1.278074259
"149","2017m5",1.748677727
"150","2017m6",1.791840658
"151","2017m7",2.056196369
"152","2017m8",2.253971945
"153","2017m9",2.387150243
"154","2017m10",2.69436222
"155","2017m11",2.61148136
"156","2017m12",2.55656895
"157","2018m1",2.354990324
"158","2018m2",1.714844698
"159","2018m3",1.578979035
"160","2018m4",1.638365139
"161","2018m5",1.30131037
"162","2018m6",1.19892975
"163","2018m7",1.031721161
"164","2018m8",1.045681732
"165","2018m9",0.899287863
"166","2018m10",0.666394444
"167","2018m11",0.637147529
"168","2018m12",0.674566088
"169","2019m1",0.694759565
"170","2019m2",0.780905891
"171","2019m3",0.716296128
"172","2019m4",0.453201601
"173","2019m5",0.785476486
"174","2019m6",1.018700566
"175","2019m7",1.035058086
"176","2019m8",0.96658229
"177","2019m9",0.957058334
"178","2019m10",0.869004407
"179","2019m11",0.9815871
"180","2019m12",0.843177729
