,X1.term,X1.estimate,X1.std.error,X1.statistic,X1.p.value,X2.term,X2.estimate,X2.std.error,X2.statistic,X2.p.value,X3.term,X3.estimate,X3.std.error,X3.statistic,X3.p.value,X4.term,X4.estimate,X4.std.error,X4.statistic,X4.p.value,X5.term,X5.estimate,X5.std.error,X5.statistic,X5.p.value
1,(Intercept),-0.001065617,0.021363082,-0.04988126,0.960272939,(Intercept),0.052350735,0.048828943,1.072125112,0.285115272,(Intercept),0.437286746,0.144132133,3.033929602,0.00277536,(Intercept),-0.044138253,0.080329769,-0.549463215,0.583376291,(Intercept),0.799759287,0.222348509,3.596872728,0.000417073
2,(Intercept),-0.000631127,0.021388643,-0.029507556,0.976492851,(Intercept),0.238780396,0.112711486,2.118509865,0.035519432,(Intercept),-0.025213649,0.069038326,-0.36521235,0.715386487,(Intercept),0.158782149,0.084953217,1.869053995,0.063258017,(Intercept),0.975251176,0.198633876,4.909792795,2.05292E-06
3,(Intercept),0.00519192,0.024275419,0.213875622,0.830888843,(Intercept),0.250450781,0.104064974,2.406677006,0.017121197,(Intercept),-0.024683696,0.068678177,-0.359411055,0.719713619,(Intercept),0.688455514,0.201333325,3.419481171,0.000777901,(Intercept),-0.073839789,0.093765996,-0.787490053,0.432042389
4,(Intercept),0.061897745,0.055758001,1.110114128,0.268447264,(Intercept),-0.010092871,0.053014153,-0.190380683,0.849227783,(Intercept),0.120116837,0.074382145,1.614861166,0.10811195,(Intercept),0.774888162,0.182705125,4.241195556,3.56848E-05,(Intercept),-0.074177118,0.093241789,-0.795535128,0.427361863
5,(Intercept),0.062113943,0.051683434,1.201815321,0.23103158,(Intercept),-0.009110053,0.052883693,-0.172265821,0.863424258,(Intercept),0.469451089,0.175208409,2.679386755,0.008067446,(Intercept),-0.054853028,0.085537989,-0.641270963,0.522171484,(Intercept),0.212135709,0.095007469,2.232831919,0.026806423
6,(Intercept),-0.001572645,0.032957386,-0.047717536,0.961994855,(Intercept),0.076164218,0.058636853,1.298913804,0.195653586,(Intercept),0.545968506,0.159989325,3.412530841,0.000796748,(Intercept),-0.055221691,0.085199611,-0.648144868,0.517726451,(Intercept),0.805773169,0.232959791,3.458850839,0.000678787
7,(Intercept),-0.000712137,0.03299341,-0.021584231,0.982803789,(Intercept),0.292845535,0.136648248,2.143061021,0.033466228,(Intercept),-0.032176893,0.075196998,-0.427901295,0.669240243,(Intercept),0.173804772,0.089029577,1.952213841,0.052481489,(Intercept),1.062861527,0.205744603,5.165926638,6.36897E-07
8,(Intercept),0.025315845,0.037454539,0.675908591,0.4999759,(Intercept),0.340882757,0.125527288,2.715606812,0.007267443,(Intercept),-0.031891683,0.074850241,-0.426073217,0.670569268,(Intercept),0.741061786,0.212685708,3.484304579,0.000621145,(Intercept),-0.079777758,0.097105808,-0.821554957,0.412429263
9,(Intercept),0.129892849,0.086212095,1.506666196,0.133668869,(Intercept),-0.017841301,0.061429488,-0.290435441,0.771821226,(Intercept),0.141959505,0.080038625,1.773637488,0.077832969,(Intercept),0.872496938,0.191548283,4.554971323,9.69556E-06,(Intercept),-0.081111059,0.097371389,-0.833007103,0.405957038
10,(Intercept),0.136241971,0.079789263,1.707522614,0.089468484,(Intercept),-0.016910406,0.06119889,-0.276318838,0.782623757,(Intercept),0.605396036,0.188578171,3.210318737,0.001573198,(Intercept),-0.063826053,0.08971792,-0.711408082,0.477762639,(Intercept),0.228248983,0.097669051,2.336963251,0.020553764
11,(Intercept),-0.003974454,0.043534052,-0.091295297,0.927360614,(Intercept),0.097433613,0.067140961,1.451179902,0.148489853,(Intercept),0.660181127,0.172224793,3.83325254,0.000175249,(Intercept),-0.064144055,0.089287879,-0.718396002,0.473455059,(Intercept),0.840340443,0.241741081,3.476200409,0.00063898
12,(Intercept),-0.002985308,0.043449138,-0.068708116,0.94529908,(Intercept),0.368587028,0.157428989,2.341290697,0.020324277,(Intercept),-0.044093628,0.080777681,-0.545864,0.58584288,(Intercept),0.193597132,0.092141812,2.101077972,0.037042239,(Intercept),1.16419666,0.211165763,5.513188508,1.22288E-07
