,AR,SARIMA,EXFD,TM,Sticky
1 months ahead,0.28 ,0.29 ,0.29 ,0.29 ,0.29 
2 months ahead,0.44 ,0.44 ,0.44 ,0.44 ,0.44 
3 months ahead,0.58 ,0.58 ,0.58 ,0.58 ,0.58 
4 months ahead,0.71 ,0.71 ,0.69 ,0.70 ,0.69 
5 months ahead,0.82 ,0.82 ,0.79 ,0.81 ,0.80 
6 months ahead,0.92 ,0.92 ,0.88 ,0.90 ,0.89 
7 months ahead,1.00 ,1.00 ,0.95 ,0.97 ,0.95 
8 months ahead,1.08 ,1.07 ,1.01 ,1.03 ,1.01 
9 months ahead,1.14 ,1.14 ,1.05 ,1.09 ,1.06 
10 months ahead,1.20 ,1.19 ,1.09 ,1.14 ,1.10 
11 months ahead,1.25 ,1.24 ,1.12 ,1.20 ,1.14 
12 months ahead,1.30 ,1.30 ,1.16 ,1.24 ,1.17 
