,AR,Headline,SARIMA,EXFD,TM,Sticky
2005 JAN,1.744486692,1.6,1.598400001,1.082099581,0.05252897,0
2005 FEB,1.622723844,1.7,1.61779434,1.005596858,0.145762323,0
2005 MAR,1.745594804,1.9,1.750306437,1.187310104,0.185242469,0
2005 APR,1.971378899,1.9,1.943320674,1.14511412,0.190299827,0
2005 MAY,1.948879436,1.9,1.920445009,1.244207709,-0.277574895,0
2005 JUN,1.913974234,2,1.924411305,1.227576463,0.710095885,0
2005 JUL,2.029293788,2.3,2.065613217,1.457069636,0.676570546,0
2005 AUG,2.37272902,2.4,2.373980821,1.34523422,0.735076644,0
2005 SEP,2.46302568,2.5,2.458560949,1.294068443,0.645728374,0
2005 OCT,2.523464,2.3,2.50552249,1.25812511,0.576494395,0
2005 NOV,2.272848859,2.1,2.250842122,1.186724158,0.596815462,0
2005 DEC,2.029804012,1.9,2.023520525,1.014349632,0.612111715,0
2006 JAN,1.839116968,1.9,1.838517146,1.039823117,0.669955579,0
2006 FEB,1.879069032,2,1.859257042,1.238326258,0.718158752,0.077978358
2006 MAR,2.029293788,1.8,1.933893968,1.112820277,0.603435289,-0.087343769
2006 APR,1.796131249,2,1.802522075,1.189942387,0.692319785,-0.188809692
2006 MAY,2.014364618,2.2,2.046582265,0.986880883,1.376414158,0.110659947
2006 JUN,2.274862067,2.5,2.24717344,1.151919796,0.546955894,0.112665911
2006 JUL,2.580868665,2.4,2.480983813,0.958133915,0.722253254,0.34084463
2006 AUG,2.423073615,2.5,2.417675244,1.190072412,0.854271049,0.605113395
2006 SEP,2.488558798,2.4,2.5004119,1.46182877,0.945010207,0.732474903
2006 OCT,2.388168413,2.4,2.46579237,1.504486966,0.999847584,0.754886397
2006 NOV,2.373239244,2.7,2.477397903,1.615615727,1.058644311,0.829335048
2006 DEC,2.736650507,3,2.820158641,1.817772527,1.075991347,0.93005896
2007 JAN,3.075038876,2.7,3.019507045,1.691585833,1.179803962,1.063488701
2007 FEB,2.669152117,2.8,2.617016048,1.918748503,1.274345766,0.116741808
2007 MAR,2.739684162,3.1,2.865721568,2.06747939,1.427853055,0.272802659
2007 APR,3.135477197,2.8,3.062560403,1.927114074,1.533353805,0.535611296
2007 MAY,2.764495639,2.5,2.69086068,2.044578846,1.377657548,0.365312078
