"Figure A: Contributions to the CPI 12-month rate, June 2015 and June 2016",""
"UK",""
"",""
"Notes","1. Individual contributions may not sum to the total due to rounding.

2. More information on the contents of each group can be found in Table 3 in the accompanying consumer price inflation dataset tables."
"Unit","Percentage points"
"",""
"","June 2015","June 2016"
"Food and non-alcoholic beverages","-0.24","-0.31"
"Alcohol and tobacco","0.10","0.02"
"Clothing and footwear","-0.05","-0.04"
"Housing and household services","0.05","0.02"
"Furniture and household goods","-0.02","-0.03"
"Health","0.04","0.08"
"Transport","-0.28","-0.02"
"Communication","0.03","0.11"
"Recreation and culture","-0.15","0.12"
"Education","0.22","0.12"
"Restaurants and hotels","0.23","0.29"
"Miscellaneous goods and services","0.01","0.10"
