"date","CPI","01FB","02AT","03CF","04HW","05FH","06HL","07TR","08CM","09RC","10ED","11RH","12MS"
1997-02-01,146083,12819,7212,6199,41045,8225,2142,19655,3306,13860,1745,12558,17036
1997-03-01,147439.333333333,12962.3333333333,7320.33333333333,6402.66666666667,40518.3333333333,8073.66666666667,2128,19784,3340.66666666667,14103.6666666667,1756.33333333333,13432,17241.3333333333
1997-04-01,148795.666666667,13105.6666666667,7428.66666666667,6606.33333333333,39991.6666666667,7922.33333333333,2114,19913,3375.33333333333,14347.3333333333,1767.66666666667,14306,17446.6666666667
1997-05-01,150152,13249,7537,6810,39465,7771,2100,20042,3410,14591,1779,15180,17652
1997-06-01,152816.666666667,13125.6666666667,7548.66666666667,6909.66666666667,39394.3333333333,7787.33333333333,2106.66666666667,22053,3424.66666666667,14363.6666666667,1792.66666666667,15570.6666666667,18031.6666666667
1997-07-01,155481.333333333,13002.3333333333,7560.33333333333,7009.33333333333,39323.6666666667,7803.66666666667,2113.33333333333,24064,3439.33333333333,14136.3333333333,1806.33333333333,15961.3333333333,18411.3333333333
1997-08-01,158146,12879,7572,7109,39253,7820,2120,26075,3454,13909,1820,16352,18791
1997-09-01,158251.666666667,13222.6666666667,7801,7771.66666666667,39933.3333333333,8324.33333333333,2153.33333333333,23584.3333333333,3565,14538,1831,15856.6666666667,19081.6666666667
1997-10-01,158357.333333333,13566.3333333333,8030,8434.33333333333,40613.6666666667,8828.66666666667,2186.66666666667,21093.6666666667,3676,15167,1842,15361.3333333333,19372.3333333333
1997-11-01,158463,13910,8259,9097,41294,9333,2220,18603,3787,15796,1853,14866,19663
1997-12-01,156854.666666667,13617,8048,8176.66666666667,41522.3333333333,8985.66666666667,2213.66666666667,19643.3333333333,3722.66666666667,15347.3333333333,1863,14256.3333333333,19432
1998-01-01,155246.333333333,13324,7837,7256.33333333333,41750.6666666667,8638.33333333333,2207.33333333333,20683.6666666667,3658.33333333333,14898.6666666667,1873,13646.6666666667,19201
1998-02-01,153638,13031,7626,6336,41979,8291,2201,21724,3594,14450,1883,13037,18970
1998-03-01,155451,13317,7719,6655,41643,8343.33333333333,2209.33333333333,21463.6666666667,3611.66666666667,14696.3333333333,1895.33333333333,13870.6666666667,19344.3333333333
1998-04-01,157264,13603,7812,6974,41307,8395.66666666667,2217.66666666667,21203.3333333333,3629.33333333333,14942.6666666667,1907.66666666667,14704.3333333333,19718.6666666667
1998-05-01,159077,13889,7905,7293,40971,8448,2226,20943,3647,15189,1920,15538,20093
1998-06-01,161555,13823.3333333333,7803.66666666667,7385.66666666667,40876.6666666667,8561.33333333333,2219.66666666667,22764,3660.66666666667,15115.3333333333,1933,16005,20218.6666666667
1998-07-01,164033,13757.6666666667,7702.33333333333,7478.33333333333,40782.3333333333,8674.66666666667,2213.33333333333,24585,3674.33333333333,15041.6666666667,1946,16472,20344.3333333333
1998-08-01,166511,13692,7601,7571,40688,8788,2207,26406,3688,14968,1959,16939,20470
1998-09-01,167252.666666667,13847.6666666667,7802,8339.66666666667,41455.3333333333,9227.66666666667,2207,24300,3800,15778,1970,16746.3333333333,20714
1998-10-01,167994.333333333,14003.3333333333,8003,9108.33333333333,42222.6666666667,9667.33333333333,2207,22194,3912,16588,1981,16553.6666666667,20958
1998-11-01,168736,14159,8204,9877,42990,10107,2207,20088,4024,17398,1992,16361,21202
1998-12-01,167239.666666667,14002,8002,8970.66666666667,43161.6666666667,9650.33333333333,2159.66666666667,20937,3955,16871.3333333333,2015,15720.6666666667,21404
1999-01-01,165743.333333333,13845,7800,8064.33333333333,43333.3333333333,9193.66666666667,2112.33333333333,21786,3886,16344.6666666667,2038,15080.3333333333,21606
1999-02-01,164247,13688,7598,7158,43505,8737,2065,22635,3817,15818,2061,14440,21808
1999-03-01,165470.333333333,14046.6666666667,7718.33333333333,7287,43143.6666666667,8702.66666666667,2068.33333333333,22945,3808.33333333333,16014.6666666667,2066,14984.6666666667,21494
1999-04-01,166693.666666667,14405.3333333333,7838.66666666667,7416,42782.3333333333,8668.33333333333,2071.66666666667,23255,3799.66666666667,16211.3333333333,2071,15529.3333333333,21180
1999-05-01,167917,14764,7959,7545,42421,8634,2075,23565,3791,16408,2076,16074,20866
1999-06-01,169163.333333333,14525.6666666667,7954,7551,42407.6666666667,8740,2085.33333333333,24583,3820.66666666667,16462.6666666667,2079,16484,20529.3333333333
1999-07-01,170409.666666667,14287.3333333333,7949,7557,42394.3333333333,8846,2095.66666666667,25601,3850.33333333333,16517.3333333333,2082,16894,20192.6666666667
1999-08-01,171656,14049,7944,7563,42381,8952,2106,26619,3880,16572,2085,17304,19856
1999-09-01,173037.666666667,13995.6666666667,8206.33333333333,8408.66666666667,43146.6666666667,9457.66666666667,2139,24632,3999.33333333333,17352.3333333333,2090.66666666667,17150.3333333333,20591.3333333333
1999-10-01,174419.333333333,13942.3333333333,8468.66666666667,9254.33333333333,43912.3333333333,9963.33333333333,2172,22645,4118.66666666667,18132.6666666667,2096.33333333333,16996.6666666667,21326.6666666667
1999-11-01,175801,13889,8731,10100,44678,10469,2205,20658,4238,18913,2102,16843,22062
1999-12-01,174161.333333333,13851.3333333333,8399,9069,44997.6666666667,10065.3333333333,2161.33333333333,21538,4236,18426,2083,16121.3333333333,22218.6666666667
2000-01-01,172521.666666667,13813.6666666667,8067,8038,45317.3333333333,9661.66666666667,2117.66666666667,22418,4234,17939,2064,15399.6666666667,22375.3333333333
2000-02-01,170882,13776,7735,7007,45637,9258,2074,23298,4232,17452,2045,14678,22532
2000-03-01,172351.666666667,13896,7866,7320,45087.6666666667,9238.66666666667,2078.66666666667,23746,4196.33333333333,17591.3333333333,2101.33333333333,15412.6666666667,22377.3333333333
2000-04-01,173821.333333333,14016,7997,7633,44538.3333333333,9219.33333333333,2083.33333333333,24194,4160.66666666667,17730.6666666667,2157.66666666667,16147.3333333333,22222.6666666667
2000-05-01,175291,14136,8128,7946,43989,9200,2088,24642,4125,17870,2214,16882,22068
2000-06-01,177803.333333333,14057.3333333333,8107.33333333333,8145,43883.3333333333,9281,2120.66666666667,25895,4156.33333333333,17834.6666666667,2265.66666666667,17575,22168.3333333333
