,core,cpi
1,0.363453609,0.56
2,0.347313055,0.45
3,0.282654339,0.21
4,0.472330184,0.64
5,0.340672997,0.36
6,0.295326927,0.08
7,0.292390507,0.43
8,0.448988282,0.41
9,0.420983274,0.57
10,0.448881333,0.59
11,0.515715973,0.6
12,0.477813771,0.79
13,0.639794571,0.86
14,0.663954323,0.6
15,0.445578361,0.47
16,0.43283456,0.55
17,0.382634924,0.37
18,0.346195139,0.26
19,0.22231816,0.03
20,0.29112176,0.24
21,0.340833027,0.35
22,0.471645351,0.57
23,0.459722933,0.54
24,0.54889403,0.92
25,0.537717416,0.55
26,0.636857616,0.69
27,0.602264844,0.92
28,0.491931457,0.67
29,0.641670562,0.46
30,0.396423366,0.4
31,0.256863206,0.01
32,0.392542718,0.25
33,0.430053723,0.57
34,0.411087695,0.42
35,0.346435226,0.51
36,0.501352756,0.78
37,0.717800727,1.24
38,0.789225757,1.22
39,0.681893995,1.32
40,0.623998073,0.71
41,0.601258068,0.74
42,0.489234111,0.79
43,0.487642492,0.62
44,0.435987878,0.22
45,0.409371896,0.54
46,0.592715388,0.82
47,0.63144478,1.01
48,0.565533919,0.96
49,0.846593892,1.27
50,0.665624676,0.9
51,0.460329085,0.43
52,0.475478329,0.61
53,0.536413478,0.78
54,0.371318832,0.35
55,0.325135074,0.52
56,0.398527892,0.44
57,0.242533049,0.08
58,0.363956428,0.26
59,0.252138696,0.18
60,0.335712871,0.3
61,0.365708428,0.38
62,0.226242666,0.33
63,0.297646416,0.25
64,0.243957698,0.14
65,0.228135264,0.31
66,0.12602536,-0.23
67,0.141353677,0.24
68,0.363453609,0.56
