"","date_all","CPI","1 months difference ","2 months difference ","3 months difference ","4 months difference ","5 months difference ","6 months difference ","7 months difference ","8 months difference ","9 months difference ","10 months difference ","11 months difference ","12 months difference ","excluding_food_and_energy","Trimmed_mean","sticky","ar","TM","EXFD","Sticky","Baseline"
"193",2005-01-01,1.6,0.0999999999999999,0.3,0.3,0.3,0.4,0.7,0.8,0.9,0.7,0.5,0.3,0.3,0.517900418673746,1.54747103044597,1.6,0,0.0525289695540332,1.08209958132625,NA,0
"194",2005-02-01,1.7,0.2,0.2,0.2,0.3,0.6,0.7,0.8,0.6,0.4,0.2,0.2,0.3,0.694403141766731,1.55423767654684,1.7,0,0.145762323453158,1.00559685823327,NA,0
"195",2005-03-01,1.9,0,0,0.1,0.4,0.5,0.6,0.4,0.2,0,0,0.1,-0.0999999999999999,0.712689896376741,1.71475753129212,1.9,0,0.18524246870788,1.18731010362326,NA,0
"196",2005-04-01,1.9,0,0.1,0.4,0.5,0.6,0.4,0.2,0,0,0.1,-0.0999999999999999,0.1,0.75488587967889,1.70970017348363,1.9,0,0.190299826516371,1.14511412032111,NA,0
"197",2005-05-01,1.9,0.1,0.4,0.5,0.6,0.4,0.2,0,0,0.1,-0.0999999999999999,0.1,0.3,0.655792291101105,2.17757489486305,1.9,0,-0.277574894863053,1.24420770889889,NA,0
"198",2005-06-01,2,0.3,0.4,0.5,0.3,0.1,-0.1,-0.1,0,-0.2,0,0.2,0.5,0.772423536751689,1.28990411484873,2,0,0.710095885151274,1.22757646324831,NA,0
"199",2005-07-01,2.3,0.1,0.2,0,-0.2,-0.4,-0.4,-0.3,-0.5,-0.3,-0.0999999999999996,0.2,0.1,0.842930364326396,1.62342945407335,2.3,0,0.676570545926647,1.4570696356736,NA,0
"200",2005-08-01,2.4,0.1,-0.1,-0.3,-0.5,-0.5,-0.4,-0.6,-0.4,-0.2,0.1,0,0.1,1.05476577963001,1.66492335576365,2.4,0,0.735076644236354,1.34523422036999,NA,0
"201",2005-09-01,2.5,-0.2,-0.4,-0.6,-0.6,-0.5,-0.7,-0.5,-0.3,0,-0.1,0,-0.1,1.20593155732186,1.85427162599983,2.5,0.0372341843742376,0.645728374000165,1.29406844267814,NA,0.879056547499917
"202",2005-10-01,2.3,-0.2,-0.4,-0.4,-0.3,-0.5,-0.3,-0.0999999999999996,0.2,0.1,0.2,0.1,0.1,1.04187488960709,1.72350560510689,2.3,-0.0273059582506474,0.576494394893112,1.25812511039291,NA,0.860215081185751
"203",2005-11-01,2.1,-0.2,-0.2,-0.1,-0.3,-0.1,0.1,0.4,0.3,0.4,0.3,0.3,0.6,0.913275841536059,1.50318453793635,2.1,-0.0685035123569032,0.596815462063649,1.18672415846394,NA,0.810440857086281
"204",2005-12-01,1.9,0,0.1,-0.0999999999999999,0.1,0.3,0.6,0.5,0.6,0.5,0.5,0.8,1.1,0.885650368194881,1.28788828496274,1.9,-0.149478513819084,0.612111715037256,1.01434963180512,NA,0.791332399991478
"205",2006-01-01,1.9,0.1,-0.0999999999999999,0.1,0.3,0.6,0.5,0.6,0.5,0.5,0.8,1.1,0.8,0.860176883272783,1.23004442068034,1.9,-0.0893588707685099,0.669955579319659,1.03982311672722,NA,0.731212756940905
"206",2006-02-01,2,-0.2,0,0.2,0.5,0.4,0.5,0.4,0.4,0.7,1,0.7,0.8,0.761673742064226,1.28184124760127,1.922021642,-0.00265498754402194,0.718158752398734,1.23832625793577,0.077978358,0.695802168103967
"207",2006-03-01,1.8,0.2,0.4,0.7,0.6,0.7,0.6,0.6,0.9,1.2,0.9,1,1.3,0.687179722838727,1.19656471095544,1.887343769,-0.0175777313097165,0.603435289044563,1.11282027716127,-0.087343769,0.605364396211836
"208",2006-04-01,2,0.2,0.5,0.4,0.5,0.4,0.4,0.7,1,0.7,0.8,1.1,0.8,0.810057612807018,1.30768021503948,2.188809692,0.128770000003462,0.692319784960516,1.18994238719298,-0.188809692,0.564377180556483
"209",2006-05-01,2.2,0.3,0.2,0.3,0.2,0.2,0.5,0.8,0.5,0.6,0.9,0.6,0.3,1.21311911677353,0.8235858417851,2.089340053,0.108744111924287,1.3764141582149,0.986880883226468,0.110659947,0.679713248439983
"210",2006-06-01,2.5,-0.1,0,-0.1,-0.1,0.2,0.5,0.2,0.3,0.6,0.3,0,-0.1,1.34808020350689,1.95304410567066,2.387334089,0.163977184419663,0.546955894329337,1.15191979649311,0.112665911,0.752313547454492
"211",2006-07-01,2.4,0.1,0,0,0.3,0.6,0.3,0.4,0.7,0.4,0.1,0,-0.5,1.44186608494446,1.67774674584722,2.05915537,0.0198763747792167,0.722253254152783,0.958133915055537,0.34084463,0.855592362574683
"212",2006-08-01,2.5,-0.1,-0.1,0.2,0.5,0.2,0.3,0.6,0.3,0,-0.1,-0.6,-0.7,1.30992758794262,1.64572895133116,1.894886605,0.0685443137186,0.854271048668842,1.19007241205738,0.605113395,0.847746418155555
"213",2006-09-01,2.4,0,0.3,0.6,0.3,0.4,0.7,0.4,0.1,0,-0.5,-0.6,-0.6,0.938171229540951,1.4549897933082,1.667525097,-0.021778050956303,0.945010206691799,1.46182877045905,0.732474903,0.897246788310203
"214",2006-10-01,2.4,0.3,0.6,0.3,0.4,0.7,0.4,0.1,0,-0.5,-0.6,-0.6,-0.3,0.895513034411255,1.40015241575573,1.645113603,-0.0495753953053687,0.999847584244273,1.50448696558874,0.754886397,0.925044132659269
"215",2006-11-01,2.7,0.3,0,0.0999999999999996,0.4,0.0999999999999996,-0.2,-0.3,-0.8,-0.9,-0.9,-0.6,-0.6,1.08438427250849,1.64135568941784,1.870664952,0.00663061486163508,1.05864431058216,1.61561572749152,0.829335048,0.986621158148648
"216",2006-12-01,3,-0.3,-0.2,0.1,-0.2,-0.5,-0.6,-1.1,-1.2,-1.2,-0.9,-0.9,-0.9,1.18222747301562,1.92400865273465,2.06994104,0.077384378741139,1.07599134726535,1.81777252698438,0.93005896,1.02122790992697
"217",2007-01-01,2.7,0.0999999999999996,0.4,0.0999999999999996,-0.2,-0.3,-0.8,-0.9,-0.9,-0.6,-0.6,-0.6,-0.5,1.00841416672402,1.52019603807648,1.636511299,0.0274007920461029,1.17980396192352,1.69158583327598,1.063488701,0.965850980964181
"218",2007-02-01,2.8,0.3,0,-0.3,-0.4,-0.9,-1,-1,-0.7,-0.7,-0.7,-0.6,-0.3,0.881251497300109,1.52565423445503,2.683258192,0.0582476714910501,1.27434576554497,1.91874850269989,0.116741808,0.971371745690108
