"","Title","CPI.INDEX.00..ALL.ITEMS.2015.100","X","inflation","table57"
"239","1993 JAN",62.8,"62.8",-0.632911392405078,-0.585721070128231
"240","1993 FEB",63.2,"63.187",0.636942675159236,0.616242038216552
"241","1993 MAR",63.6,"63.561",0.632911392405067,0.591893902226737
"242","1993 APR",64.3,"64.256",1.10062893081759,1.09343779990876
"243","1993 MAY",64.5,"64.495",0.311041990668737,0.371949701195229
"244","1993 JUN",64.5,"64.454",0,-0.0635708194433815
"245","1993 JUL",64.2,"64.249",-0.465116279069766,-0.318056288205537
"246","1993 AUG",64.5,"64.495",0.467289719626174,0.382885336736782
"247","1993 SEP",64.8,"64.797",0.465116279069755,0.468253352973091
"248","1993 OCT",64.7,"64.703",-0.154320987654311,-0.145068444526741
"249","1993 NOV",64.6,"64.561",-0.154559505409591,-0.2194643215925
"250","1993 DEC",64.7,"64.692",0.154798761609931,0.202908876876107
"251","1994 JAN",64.5,"64.477",-0.30911901081917,-0.332344030173726
"252","1994 FEB",64.8,"64.777",0.465116279069755,0.465282193650451
"253","1994 MAR",65,"64.981",0.308641975308643,0.314926594315867
"254","1994 APR",65.5,"65.55",0.769230769230766,0.875640571859471
"255","1994 MAY",65.8,"65.759",0.458015267175571,0.318840579710145
"256","1994 JUN",65.8,"65.757",0,-0.00304140878053527
"257","1994 JUL",65.4,"65.354",-0.607902735562293,-0.61286250893442
"258","1994 AUG",65.7,"65.709",0.458715596330261,0.543195519784567
"259","1994 SEP",65.8,"65.794",0.152207001522053,0.129358230988141
"260","1994 OCT",65.7,"65.684",-0.151975683890571,-0.167188497431381
"261","1994 NOV",65.7,"65.75",0,0.100481091285554
"262","1994 DEC",66,"66.015",0.456621004566204,0.403041825095052
"263","1995 JAN",66,"66.03",0,0.0227221086116725
"264","1995 FEB",66.3,"66.323",0.454545454545441,0.443737694987112
"265","1995 MAR",66.7,"66.67",0.603318250377072,0.52319708095232
"266","1995 APR",67,"67.049",0.449775112443773,0.568471576421192
"267","1995 MAY",67.4,"67.386",0.59701492537314,0.502617488702284
"268","1995 JUN",67.4,"67.45",0,0.0949752174042251
"269","1995 JUL",67.1,"67.098",-0.445103857566786,-0.521868050407714
"270","1995 AUG",67.4,"67.419",0.447093889716865,0.478404721452197
"271","1995 SEP",67.7,"67.749",0.445103857566753,0.489476260401367
"272","1995 OCT",67.6,"67.564",-0.147710487444619,-0.273066761133012
"273","1995 NOV",67.6,"67.567",0,0.00444023444436947
"274","1995 DEC",68,"67.964",0.591715976331364,0.587564935545459
"275","1996 JAN",67.8,"67.775",-0.294117647058822,-0.278088399741028
"276","1996 FEB",68.1,"68.095",0.442477876106184,0.472150497971224
"277","1996 MAR",68.4,"68.378",0.440528634361259,0.415595858726792
"278","1996 APR",68.7,"68.734",0.43859649122806,0.520635292052996
"279","1996 MAY",68.9,"68.946",0.29112081513829,0.308435417697206
"280","1996 JUN",69,"69.013",0.145137880986934,0.0971775012328591
"281","1996 JUL",68.6,"68.575",-0.579710144927548,-0.634663034500749
"282","1996 AUG",68.9,"68.942",0.437317784256575,0.535180459351059
"283","1996 SEP",69.3,"69.282",0.580551523947737,0.493168170346103
"284","1996 OCT",69.3,"69.257",0,-0.0360844086486956
"285","1996 NOV",69.3,"69.306",0,0.0707509710209608
"286","1996 DEC",69.5,"69.519",0.288600288600294,0.307332698467677
"287","1997 JAN",69.2,"69.231",-0.431654676258986,-0.414275234108674
"288","1997 FEB",69.4,"69.399",0.289017341040476,0.242665857780477
"289","1997 MAR",69.5,"69.549",0.144092219020164,0.216141442960271
"290","1997 APR",69.8,"69.805",0.431654676258986,0.368085810004448
"291","1997 MAY",70,"70.021",0.286532951289398,0.309433421674665
"292","1997 JUN",70.2,"70.168",0.285714285714289,0.209937018894335
"293","1997 JUL",69.9,"69.943",-0.427350427350426,-0.32065898985294
"294","1997 AUG",70.3,"70.305",0.57224606580828,0.517564302360496
"295","1997 SEP",70.6,"70.553",0.426742532005675,0.352748737643105
"296","1997 OCT",70.6,"70.571",0,0.0255127351069362
"297","1997 NOV",70.6,"70.637",0,0.0935228351589323
"298","1997 DEC",70.7,"70.708",0.141643059490093,0.100513894984222
"299","1998 JAN",70.3,"70.254",-0.565770862800574,-0.642077275555797
"300","1998 FEB",70.5,"70.498",0.284495021337139,0.347311185128252
"301","1998 MAR",70.7,"70.7",0.283687943262412,0.286532951289398
"302","1998 APR",71.1,"71.072",0.565770862800563,0.526166902404523
"303","1998 MAY",71.4,"71.449",0.421940928270059,0.530447996398009
"304","1998 JUN",71.3,"71.343",-0.140056022408974,-0.148357569735047
"305","1998 JUL",71,"70.952",-0.420757363253854,-0.548056571772992
"306","1998 AUG",71.2,"71.238",0.28169014084507,0.403089412560598
"307","1998 SEP",71.5,"71.548",0.42134831460674,0.435161009573548
"308","1998 OCT",71.5,"71.534",0,-0.0195672835019756
"309","1998 NOV",71.6,"71.59",0.139860139860137,0.0782844521486359
"310","1998 DEC",71.8,"71.808",0.27932960893855,0.304511803324492
"311","1999 JAN",71.4,"71.367",-0.557103064066844,-0.614137700534767
"312","1999 FEB",71.5,"71.489",0.140056022408963,0.170947356621398
"313","1999 MAR",71.9,"71.88",0.559440559440572,0.546937291051752
"314","1999 APR",72.2,"72.168",0.417246175243391,0.400667779632746
"315","1999 MAY",72.4,"72.382",0.277008310249305,0.296530318146537
"316","1999 JUN",72.3,"72.306",-0.138121546961334,-0.104998480285168
"317","1999 JUL",71.9,"71.877",-0.553250345781453,-0.593311758360304
"318","1999 AUG",72.1,"72.097",0.278164116828905,0.306078439556456
"319","1999 SEP",72.4,"72.387",0.416088765603351,0.402235876666168
"320","1999 OCT",72.3,"72.33",-0.138121546961334,-0.0787434207799809
"321","1999 NOV",72.4,"72.435",0.138312586445388,0.145167980091254
"322","1999 DEC",72.6,"72.615",0.276243093922646,0.248498653965612
"323","2000 JAN",71.9,"71.936",-0.964187327823673,-0.935068512015402
"324","2000 FEB",72.2,"72.159",0.417246175243391,0.309997775800719
"325","2000 MAR",72.3,"72.338",0.138504155124641,0.248063304646662
"326","2000 APR",72.6,"72.573",0.414937759336098,0.32486383366972
"327","2000 MAY",72.8,"72.771",0.275482093663926,0.272828737960418
"328","2000 JUN",72.9,"72.876",0.137362637362659,0.144288246691682
"329","2000 JUL",72.5,"72.508",-0.548696844993146,-0.504967341786056
"330","2000 AUG",72.5,"72.526",0,0.0248248469134404
"331","2000 SEP",73.1,"73.083",0.827586206896536,0.768000441221073
"332","2000 OCT",73.1,"73.05",0,-0.0451541398136412
"333","2000 NOV",73.2,"73.205",0.136798905608759,0.212183436002733
"334","2000 DEC",73.2,"73.2",0,-0.00683013455364812
