"Title","Manufactured Products for Domestic Market, Excl Duty"
"CDID","GB7S"
"Source dataset ID","PPI"
"PreUnit",""
"Unit",""
"Release date","22-06-2022"
"Next release","20 July 2022"
"Important notes",
"1974","18.0"
"1975","21.9"
"1976","25.6"
"1977","30.2"
"1978","32.9"
"1979","36.7"
"1980","41.4"
"1981","44.4"
"1982","47.5"
"1983","49.8"
"1984","52.7"
"1985","55.4"
"1986","56.3"
"1987","58.2"
"1988","60.3"
"1989","63.2"
"1990","66.7"
"1991","68.0"
"1992","67.9"
"1993","69.7"
"1994","70.4"
"1995","72.9"
"1996","74.9"
"1997","74.4"
"1998","72.7"
"1999","72.3"
"2000","73.9"
"2001","73.5"
"2002","73.2"
"2003","74.4"
"2004","76.5"
"2005","79.5"
"2006","82.1"
"2007","84.8"
"2008","93.1"
"2009","90.2"
"2010","93.9"
"2011","101.0"
"2012","103.1"
"2013","104.2"
"2014","103.1"
"2015","100.0"
"2016","100.2"
"2017","104.1"
"2018","107.7"
"2019","109.2"
"2020","108.1"
"2021","113.7"
"1974 Q1","16.5"
"1974 Q2","17.7"
"1974 Q3","18.5"
"1974 Q4","19.3"
"1975 Q1","20.6"
"1975 Q2","21.7"
"1975 Q3","22.4"
"1975 Q4","23.1"
"1976 Q1","23.9"
"1976 Q2","25.0"
"1976 Q3","26.1"
"1976 Q4","27.5"
"1977 Q1","28.8"
"1977 Q2","29.9"
"1977 Q3","30.7"
"1977 Q4","31.2"
"1978 Q1","32.0"
"1978 Q2","32.6"
"1978 Q3","33.3"
"1978 Q4","33.9"
"1979 Q1","34.9"
"1979 Q2","36.2"
"1979 Q3","37.4"
"1979 Q4","38.5"
"1980 Q1","40.0"
"1980 Q2","41.2"
"1980 Q3","41.9"
"1980 Q4","42.3"
"1981 Q1","43.1"
"1981 Q2","44.2"
"1981 Q3","44.8"
"1981 Q4","45.6"
"1982 Q1","46.6"
"1982 Q2","47.3"
"1982 Q3","47.7"
"1982 Q4","48.2"
"1983 Q1","48.8"
"1983 Q2","49.6"
"1983 Q3","50.1"
"1983 Q4","50.7"
"1984 Q1","51.6"
"1984 Q2","52.6"
"1984 Q3","53.0"
"1984 Q4","53.6"
"1985 Q1","54.6"
"1985 Q2","55.5"
"1985 Q3","55.7"
"1985 Q4","56.0"
"1986 Q1","56.4"
"1986 Q2","56.1"
"1986 Q3","56.0"
"1986 Q4","56.8"
"1987 Q1","57.4"
"1987 Q2","58.0"
"1987 Q3","58.4"
"1987 Q4","58.9"
"1988 Q1","59.5"
"1988 Q2","60.1"
"1988 Q3","60.6"
"1988 Q4","61.1"
"1989 Q1","62.1"
"1989 Q2","63.1"
"1989 Q3","63.4"
"1989 Q4","64.1"
"1990 Q1","65.1"
"1990 Q2","66.3"
"1990 Q3","67.0"
"1990 Q4","68.2"
"1991 Q1","68.5"
"1991 Q2","68.1"
"1991 Q3","67.8"
"1991 Q4","67.7"
"1992 Q1","67.4"
"1992 Q2","68.0"
"1992 Q3","67.8"
"1992 Q4","68.5"
"1993 Q1","69.4"
"1993 Q2","69.9"
"1993 Q3","69.8"
"1993 Q4","69.7"
"1994 Q1","69.7"
"1994 Q2","70.3"
"1994 Q3","70.7"
"1994 Q4","70.9"
"1995 Q1","72.0"
"1995 Q2","72.9"
"1995 Q3","73.3"
"1995 Q4","73.4"
"1996 Q1","74.5"
"1996 Q2","74.7"
"1996 Q3","74.8"
"1996 Q4","75.5"
"1997 Q1","74.8"
"1997 Q2","74.3"
"1997 Q3","74.1"
"1997 Q4","74.2"
"1998 Q1","73.3"
"1998 Q2","72.8"
"1998 Q3","72.5"
"1998 Q4","72.1"
"1999 Q1","71.8"
"1999 Q2","72.1"
"1999 Q3","72.4"
"1999 Q4","73.0"
"2000 Q1","73.4"
"2000 Q2","73.8"
"2000 Q3","74.1"
"2000 Q4","74.3"
"2001 Q1","73.4"
"2001 Q2","73.9"
"2001 Q3","73.7"
"2001 Q4","72.9"
"2002 Q1","72.7"
"2002 Q2","73.3"
"2002 Q3","73.4"
"2002 Q4","73.6"
"2003 Q1","74.5"
"2003 Q2","74.3"
"2003 Q3","74.4"
"2003 Q4","74.5"
"2004 Q1","75.0"
"2004 Q2","75.9"
"2004 Q3","76.9"
"2004 Q4","78.0"
"2005 Q1","77.9"
"2005 Q2","79.0"
"2005 Q3","80.4"
"2005 Q4","80.6"
"2006 Q1","81.0"
"2006 Q2","82.4"
"2006 Q3","83.0"
"2006 Q4","82.0"
"2007 Q1","82.6"
"2007 Q2","84.2"
"2007 Q3","85.3"
"2007 Q4","87.1"
"2008 Q1","89.6"
"2008 Q2","94.6"
"2008 Q3","96.3"
"2008 Q4","91.9"
"2009 Q1","89.5"
"2009 Q2","89.8"
"2009 Q3","90.2"
"2009 Q4","91.2"
"2010 Q1","92.1"
"2010 Q2","94.1"
"2010 Q3","94.0"
"2010 Q4","95.6"
"2011 Q1","98.8"
"2011 Q2","101.3"
"2011 Q3","101.8"
"2011 Q4","102.1"
"2012 Q1","103.0"
"2012 Q2","103.0"
"2012 Q3","103.0"
"2012 Q4","103.3"
"2013 Q1","104.3"
