Title,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
1997 MAR,-1.36986301369862
1997 APR,0
1997 MAY,0
1997 JUN,1.38888888888888
1997 JUL,-2.73972602739726
1997 AUG,-4.22535211267605
1997 SEP,-1.47058823529411
1997 OCT,-1.49253731343284
1997 NOV,-1.51515151515151
1997 DEC,-1.53846153846153
1998 JAN,0
1998 FEB,0
1998 MAR,-1.56250000000001
1998 APR,0
1998 MAY,0
1998 JUN,0
1998 JUL,0
1998 AUG,-1.58730158730158
1998 SEP,0
1998 OCT,0
1998 NOV,-1.61290322580646
1998 DEC,1.63934426229508
1999 JAN,0
1999 FEB,0
1999 MAR,0
1999 APR,-1.61290322580646
1999 MAY,-1.63934426229507
1999 JUN,0
1999 JUL,-1.66666666666666
1999 AUG,0
1999 SEP,-1.69491525423729
1999 OCT,0
1999 NOV,0
1999 DEC,1.7241379310345
2000 JAN,-1.69491525423729
2000 FEB,0
2000 MAR,-1.72413793103448
2000 APR,-1.75438596491229
2000 MAY,-1.78571428571428
2000 JUN,-3.63636363636364
2000 JUL,0
2000 AUG,0
2000 SEP,1.88679245283019
2000 OCT,-1.85185185185186
2000 NOV,-1.88679245283018
2000 DEC,0
2001 JAN,0
2001 FEB,-1.92307692307694
2001 MAR,-1.96078431372548
2001 APR,-1.99999999999999
2001 MAY,2.04081632653061
2001 JUN,0
2001 JUL,2
2001 AUG,0
2001 SEP,0
2001 OCT,0
2001 NOV,1.96078431372551
2001 DEC,0
2002 JAN,-1.92307692307694
2002 FEB,1.96078431372551
2002 MAR,0
2002 APR,0
2002 MAY,0
2002 JUN,0
2002 JUL,0
2002 AUG,1.92307692307692
2002 SEP,-1.88679245283018
2002 OCT,0
2002 NOV,-1.92307692307694
2002 DEC,-1.96078431372548
2003 JAN,2
2003 FEB,1.96078431372551
2003 MAR,-1.92307692307694
2003 APR,-1.96078431372548
2003 MAY,-1.99999999999999
2003 JUN,4.08163265306121
2003 JUL,0
2003 AUG,-1.96078431372548
2003 SEP,0
