"","date_all","CPI.ANNUAL.RATE.00..ALL.ITEMS.2015.1001","CPI.ANNUAL.RATE.00..ALL.ITEMS.2015.1002","CPI.ANNUAL.RATE.00..ALL.ITEMS.2015.1003","CPI.ANNUAL.RATE.00..ALL.ITEMS.2015.1004","CPI.ANNUAL.RATE.00..ALL.ITEMS.2015.1005","CPI.ANNUAL.RATE.00..ALL.ITEMS.2015.1006","CPI.ANNUAL.RATE.00..ALL.ITEMS.2015.1007","CPI.ANNUAL.RATE.00..ALL.ITEMS.2015.1008","CPI.ANNUAL.RATE.00..ALL.ITEMS.2015.1009","CPI.ANNUAL.RATE.00..ALL.ITEMS.2015.10010","CPI.ANNUAL.RATE.00..ALL.ITEMS.2015.10011","CPI.ANNUAL.RATE.00..ALL.ITEMS.2015.10012","CPI.ANNUAL.RATE.00..ALL.ITEMS.2015.10013"
"193",2005-01-01,1.6,0.0999999999999999,0.3,0.3,0.3,0.4,0.7,0.8,0.9,0.7,0.5,0.3,0.3
"194",2005-02-01,1.7,0.2,0.2,0.2,0.3,0.6,0.7,0.8,0.6,0.4,0.2,0.2,0.3
"195",2005-03-01,1.9,0,0,0.1,0.4,0.5,0.6,0.4,0.2,0,0,0.1,-0.0999999999999999
"196",2005-04-01,1.9,0,0.1,0.4,0.5,0.6,0.4,0.2,0,0,0.1,-0.0999999999999999,0.1
"197",2005-05-01,1.9,0.1,0.4,0.5,0.6,0.4,0.2,0,0,0.1,-0.0999999999999999,0.1,0.3
"198",2005-06-01,2,0.3,0.4,0.5,0.3,0.1,-0.1,-0.1,0,-0.2,0,0.2,0.5
"199",2005-07-01,2.3,0.1,0.2,0,-0.2,-0.4,-0.4,-0.3,-0.5,-0.3,-0.0999999999999996,0.2,0.1
"200",2005-08-01,2.4,0.1,-0.1,-0.3,-0.5,-0.5,-0.4,-0.6,-0.4,-0.2,0.1,0,0.1
"201",2005-09-01,2.5,-0.2,-0.4,-0.6,-0.6,-0.5,-0.7,-0.5,-0.3,0,-0.1,0,-0.1
"202",2005-10-01,2.3,-0.2,-0.4,-0.4,-0.3,-0.5,-0.3,-0.0999999999999996,0.2,0.1,0.2,0.1,0.1
"203",2005-11-01,2.1,-0.2,-0.2,-0.1,-0.3,-0.1,0.1,0.4,0.3,0.4,0.3,0.3,0.6
"204",2005-12-01,1.9,0,0.1,-0.0999999999999999,0.1,0.3,0.6,0.5,0.6,0.5,0.5,0.8,1.1
"205",2006-01-01,1.9,0.1,-0.0999999999999999,0.1,0.3,0.6,0.5,0.6,0.5,0.5,0.8,1.1,0.8
"206",2006-02-01,2,-0.2,0,0.2,0.5,0.4,0.5,0.4,0.4,0.7,1,0.7,0.8
"207",2006-03-01,1.8,0.2,0.4,0.7,0.6,0.7,0.6,0.6,0.9,1.2,0.9,1,1.3
"208",2006-04-01,2,0.2,0.5,0.4,0.5,0.4,0.4,0.7,1,0.7,0.8,1.1,0.8
"209",2006-05-01,2.2,0.3,0.2,0.3,0.2,0.2,0.5,0.8,0.5,0.6,0.9,0.6,0.3
"210",2006-06-01,2.5,-0.1,0,-0.1,-0.1,0.2,0.5,0.2,0.3,0.6,0.3,0,-0.1
"211",2006-07-01,2.4,0.1,0,0,0.3,0.6,0.3,0.4,0.7,0.4,0.1,0,-0.5
"212",2006-08-01,2.5,-0.1,-0.1,0.2,0.5,0.2,0.3,0.6,0.3,0,-0.1,-0.6,-0.7
"213",2006-09-01,2.4,0,0.3,0.6,0.3,0.4,0.7,0.4,0.1,0,-0.5,-0.6,-0.6
"214",2006-10-01,2.4,0.3,0.6,0.3,0.4,0.7,0.4,0.1,0,-0.5,-0.6,-0.6,-0.3
"215",2006-11-01,2.7,0.3,0,0.0999999999999996,0.4,0.0999999999999996,-0.2,-0.3,-0.8,-0.9,-0.9,-0.6,-0.6
"216",2006-12-01,3,-0.3,-0.2,0.1,-0.2,-0.5,-0.6,-1.1,-1.2,-1.2,-0.9,-0.9,-0.9
"217",2007-01-01,2.7,0.0999999999999996,0.4,0.0999999999999996,-0.2,-0.3,-0.8,-0.9,-0.9,-0.6,-0.6,-0.6,-0.5
"218",2007-02-01,2.8,0.3,0,-0.3,-0.4,-0.9,-1,-1,-0.7,-0.7,-0.7,-0.6,-0.3
"219",2007-03-01,3.1,-0.3,-0.6,-0.7,-1.2,-1.3,-1.3,-1,-1,-1,-0.9,-0.6,-0.6
"220",2007-04-01,2.8,-0.3,-0.4,-0.9,-1,-1,-0.7,-0.7,-0.7,-0.6,-0.3,-0.3,0.2
"221",2007-05-01,2.5,-0.1,-0.6,-0.7,-0.7,-0.4,-0.4,-0.4,-0.3,0,0,0.5,0.8
"222",2007-06-01,2.4,-0.5,-0.6,-0.6,-0.3,-0.3,-0.3,-0.2,0.1,0.1,0.6,0.9,1.4
"223",2007-07-01,1.9,-0.0999999999999999,-0.0999999999999999,0.2,0.2,0.2,0.3,0.6,0.6,1.1,1.4,1.9,2.5
"224",2007-08-01,1.8,0,0.3,0.3,0.3,0.4,0.7,0.7,1.2,1.5,2,2.6,2.9
"225",2007-09-01,1.8,0.3,0.3,0.3,0.4,0.7,0.7,1.2,1.5,2,2.6,2.9,3.4
"226",2007-10-01,2.1,0,0,0.1,0.4,0.4,0.9,1.2,1.7,2.3,2.6,3.1,2.4
"227",2007-11-01,2.1,0,0.1,0.4,0.4,0.9,1.2,1.7,2.3,2.6,3.1,2.4,2
"228",2007-12-01,2.1,0.1,0.4,0.4,0.9,1.2,1.7,2.3,2.6,3.1,2.4,2,1
"229",2008-01-01,2.2,0.3,0.3,0.8,1.1,1.6,2.2,2.5,3,2.3,1.9,0.9,0.8
"230",2008-02-01,2.5,0,0.5,0.8,1.3,1.9,2.2,2.7,2,1.6,0.6,0.5,0.7
"231",2008-03-01,2.5,0.5,0.8,1.3,1.9,2.2,2.7,2,1.6,0.6,0.5,0.7,0.4
"232",2008-04-01,3,0.3,0.8,1.4,1.7,2.2,1.5,1.1,0.1,0,0.2,-0.1,-0.7
"233",2008-05-01,3.3,0.5,1.1,1.4,1.9,1.2,0.8,-0.2,-0.3,-0.0999999999999996,-0.4,-1,-1.1
"234",2008-06-01,3.8,0.600000000000001,0.9,1.4,0.7,0.3,-0.7,-0.8,-0.6,-0.9,-1.5,-1.6,-2
"235",2008-07-01,4.4,0.3,0.8,0.0999999999999996,-0.300000000000001,-1.3,-1.4,-1.2,-1.5,-2.1,-2.2,-2.6,-2.6
"236",2008-08-01,4.7,0.5,-0.2,-0.600000000000001,-1.6,-1.7,-1.5,-1.8,-2.4,-2.5,-2.9,-2.9,-3.1
"237",2008-09-01,5.2,-0.7,-1.1,-2.1,-2.2,-2,-2.3,-2.9,-3,-3.4,-3.4,-3.6,-4.1
"238",2008-10-01,4.5,-0.4,-1.4,-1.5,-1.3,-1.6,-2.2,-2.3,-2.7,-2.7,-2.9,-3.4,-3
"239",2008-11-01,4.1,-1,-1.1,-0.899999999999999,-1.2,-1.8,-1.9,-2.3,-2.3,-2.5,-3,-2.6,-2.2
"240",2008-12-01,3.1,-0.1,0.1,-0.2,-0.8,-0.9,-1.3,-1.3,-1.5,-2,-1.6,-1.2,-0.2
"241",2009-01-01,3,0.2,-0.1,-0.7,-0.8,-1.2,-1.2,-1.4,-1.9,-1.5,-1.1,-0.1,0.5
"242",2009-02-01,3.2,-0.3,-0.9,-1,-1.4,-1.4,-1.6,-2.1,-1.7,-1.3,-0.3,0.3,-0.2
"243",2009-03-01,2.9,-0.6,-0.7,-1.1,-1.1,-1.3,-1.8,-1.4,-1,0,0.6,0.1,0.5
"244",2009-04-01,2.3,-0.0999999999999996,-0.5,-0.5,-0.7,-1.2,-0.8,-0.4,0.6,1.2,0.7,1.1,1.4
"245",2009-05-01,2.2,-0.4,-0.4,-0.6,-1.1,-0.7,-0.3,0.7,1.3,0.8,1.2,1.5,1.2
"246",2009-06-01,1.8,0,-0.2,-0.7,-0.3,0.0999999999999999,1.1,1.7,1.2,1.6,1.9,1.6,1.4
"247",2009-07-01,1.8,-0.2,-0.7,-0.3,0.0999999999999999,1.1,1.7,1.2,1.6,1.9,1.6,1.4,1.3
"248",2009-08-01,1.6,-0.5,-0.1,0.3,1.3,1.9,1.4,1.8,2.1,1.8,1.6,1.5,1.5
"249",2009-09-01,1.1,0.4,0.8,1.8,2.4,1.9,2.3,2.6,2.3,2.1,2,2,2
