"name","CPI weight"
"01.1 Food","95"
"01.1.1 Bread and cereals","16"
"01.1.2 Meat","21"
"01.1.3 Fish","5"
"01.1.4 Milk, cheese and eggs","14"
"01.1.5 Oils and fats","2"
"01.1.6 Fruit","9"
"01.1.7 Vegetables including potatoes and tubers","15"
"01.1.8 Sugar, jam, syrups, chocolate and confectionery","11"
"01.1.9 Food products (nec)","2"
"01.2 Non-alcoholic beverages","14"
"01.2.1 Coffee, tea and cocoa","3"
"01.2.2 Mineral waters, soft drinks and juices","11"
"02.1 Alcoholic beverages","18"
"02.1.1 Spirits","5"
"02.1.2 Wine","9"
"02.1.3 Beer","4"
"02.2 Tobacco","24"
"03.1 Clothing","55"
"03.1.2 Garments","51"
"03.1.3 Other clothing and clothing accessories","3"
"03.1.4 Cleaning, repair and hire of clothing","1"
"03.2 Footwear including repairs","8"
"04.1 Actual rentals for housing","51"
"04.3 Regular maintenance and repair of the dwelling","18"
"04.3.1 Materials for maintenance and repair","10"
"04.3.2 Services for maintenance and repair","8"
"04.4 Water supply and misc. services for the dwelling","11"
"04.4.1 Water supply","5"
"04.4.3 Sewerage collection","6"
"04.5 Electricity, gas and other fuels","35"
"04.5.1 Electricity","17"
"04.5.2 Gas","15"
"04.5.3 Liquid fuels","2"
"04.5.4 Solid fuels","1"
"05.1 Furniture, furnishings and carpets","28"
"05.1.1 Furniture and furnishings","22"
"05.1.2 Carpets and other floor coverings","6"
"05.2 Household textiles","8"
"05.3 Household appliances, fitting and repairs","9"
"05.3.1/2 Major appliances and small electric goods","8"
"05.3.3 Repair of household appliances","1"
"05.4 Glassware, tableware and household utensils","7"
"05.5 Tools and equipment for house and garden","5"
"05.6 Goods and services for routine maintenance","10"
"05.6.1 Non-durable household goods","5"
"05.6.2 Domestic services and household services","5"
"06.1 Medical products, appliances and equipment","10"
"06.1.1 Pharmaceutical products","5"
"06.1.2/3 Other medical and therapeutic equipment","5"
"06.2 Out-patient services","4"
"06.2.1/3 Medical services & paramedical services","2"
"06.2.2 Dental services","2"
"06.3 Hospital services","8"
"07.1 Purchase of vehicles","48"
"07.1.1A New cars","26"
"07.1.1B Second-hand cars","19"
"07.1.2/3 Motorcycles and bicycles","3"
"07.2 Operation of personal transport equipment","72"
"07.2.1 Spare parts and accessories","5"
"07.2.2 Fuels and lubricants","38"
"07.2.3 Maintenance and repairs","23"
"07.2.4 Other services","6"
"07.3 Transport services","32"
"07.3.1 Passenger transport by railway","8"
"07.3.2/6 Passenger transport by road and other transport services","14"
"07.3.3 Passenger transport by air","8"
"07.3.4 Passenger transport by sea and inland waterway","2"
"08.1 Postal services","1"
"08.2/3 Telephone and telefax equipment and services","22"
"09.1 Audio-visual equipment and related products","27"
"09.1.1 Reception and reproduction of sound and pictures","6"
"09.1.2 Photographic, cinematographic and optical equipment","4"
"09.1.3 Data processing equipment","5"
"09.1.4 Recording media","11"
"09.1.5 Repair of audio-visual equipment & related products","1"
"09.2 Oth. major durables for recreation & culture","9"
"09.2.1/2/3 Major durables for in/outdoor recreation and their maintenance","9"
"09.3 Other recreational items, gardens and pets","38"
"09.3.1 Games, toys and hobbies","22"
"09.3.2 Equipment for sport and open-air recreation","4"
"09.3.3 Gardens, plants and flowers","5"
"09.3.4/5 Pets, related products and services","7"
"09.4 Recreational and cultural services","32"
"09.4.1 Recreational and sporting services","11"
"09.4.2 Cultural services","21"
"09.5 Books, newspapers and stationery","17"
"09.5.1 Books","5"
"09.5.2 Newspapers and periodicals","7"
"09.5.3/4 Misc. printed matter, stationery, drawing materials","5"
"09.6 Package holidays","29"
"10.0 Education","19"
"11.1 Catering services","118"
"11.1.1 Restaurants & cafes","106"
"11.1.2 Canteens","12"
"11.2 Accommodation services","19"
"12.1 Personal care","30"
"12.1.1 Hairdressing and personal grooming establishments","8"
"12.1.2/3 Appliances and products for personal care","22"
"12.3 Personal effects (nec)","10"
"12.3.1 Jewellery, clocks and watches","7"
"12.3.2 Other personal effects","3"
"12.4 Social protection","12"
"12.5 Insurance","8"
"12.5.2 House contents insurance","2"
"12.5.3/5 Health insurance and other insurance","2"
"12.5.4 Transport insurance","4"
"12.6 Financial services (nec)","28"
"12.6.2 Other financial services (nec)","28"
"12.7 Other services (nec)","11"
