date,Total_expenditure,growth_rate
1997/3/1,73719.66667,0.928467606
1997/4/1,74397.83333,0.919926388
1997/5/1,75076,0.911540883
1997/6/1,76408.33333,1.774646136
1997/7/1,77740.66667,1.743701603
1997/8/1,79073,1.713817736
1997/9/1,79125.83333,0.066815896
1997/10/1,79178.66667,0.066771282
1997/11/1,79231.5,0.066726728
1997/12/1,78427.33333,-1.014958276
1998/1/1,77623.16667,-1.025365306
1998/2/1,76819,-1.035987968
1998/3/1,77725.5,1.180046603
1998/4/1,78632,1.166283909
1998/5/1,79538.5,1.152838539
1998/6/1,80777.5,1.557736191
1998/7/1,82016.5,1.533842964
1998/8/1,83255.5,1.510671633
1998/9/1,83626.33333,0.445416019
1998/10/1,83997.16667,0.443440862
1998/11/1,84368,0.441483145
1998/12/1,83619.83333,-0.88678962
1999/1/1,82871.66667,-0.894723939
1999/2/1,82123.5,-0.90280152
1999/3/1,82735.16667,0.744813198
1999/4/1,83346.83333,0.739306744
1999/5/1,83958.5,0.733881111
1999/6/1,84581.66667,0.742231777
1999/7/1,85204.83333,0.736763286
1999/8/1,85828,0.731374785
1999/9/1,86518.83333,0.804904382
1999/10/1,87209.66667,0.798477403
1999/11/1,87900.5,0.792152246
1999/12/1,87080.66667,-0.932683356
2000/1/1,86260.83333,-0.941464236
2000/2/1,85441,-0.950412026
2000/3/1,86175.83333,0.860047674
2000/4/1,86910.66667,0.852713928
2000/5/1,87645.5,0.845504196
2000/6/1,88901.66667,1.433235781
2000/7/1,90157.83333,1.412984383
2000/8/1,91414,1.39329731
2000/9/1,91707.5,0.321066795
2000/10/1,92001,0.320039255
2000/11/1,92294.5,0.319018272
2000/12/1,90940.33333,-1.46722358
2001/1/1,89586.16667,-1.489071589
2001/2/1,88232,-1.511580099
2001/3/1,89367.66667,1.287136942
2001/4/1,90503.33333,1.27078026
2001/5/1,91639,1.254834076
2001/6/1,92577.16667,1.023763536
2001/7/1,93515.33333,1.013388831
2001/8/1,94453.5,1.003222288
2001/9/1,94884.33333,0.456132736
2001/10/1,95315.16667,0.454061612
2001/11/1,95746,0.452009212
2001/12/1,94293.66667,-1.516860583
2002/1/1,92841.33333,-1.540223628
2002/2/1,91389,-1.564317617
2002/3/1,92385.5,1.090393811
2002/4/1,93382,1.078632469
2002/5/1,94378.5,1.067122143
2002/6/1,95302.33333,0.978859945
2002/7/1,96226.16667,0.969371159
2002/8/1,97150,0.96006457
2002/9/1,98039.5,0.915594442
2002/10/1,98929,0.907287369
2002/11/1,99818.5,0.899129679
2002/12/1,97911.83333,-1.910133559
2003/1/1,96005.16667,-1.947330166
2003/2/1,94098.5,-1.986004225
2003/3/1,95702,1.704065421
2003/4/1,97305.5,1.675513573
2003/5/1,98909,1.647902739
2003/6/1,100066.6667,1.170436125
2003/7/1,101224.3333,1.156895403
2003/8/1,102382,1.143664402
2003/9/1,103151.8333,0.751922538
2003/10/1,103921.6667,0.746310859
2003/11/1,104691.5,0.74078232
2003/12/1,102935.5,-1.677309046
2004/1/1,101179.5,-1.705922641
2004/2/1,99423.5,-1.73552943
2004/3/1,100708.5,1.29245098
2004/4/1,101993.5,1.275959825
2004/5/1,103278.5,1.259884208
2004/6/1,104410.1667,1.095742741
2004/7/1,105541.8333,1.083866354
2004/8/1,106673.5,1.072244655
2004/9/1,107696.8333,0.959313544
2004/10/1,108720.1667,0.950198164
2004/11/1,109743.5,0.941254382
2004/12/1,108059.8333,-1.534183498
2005/1/1,106376.1667,-1.558087418
2005/2/1,104692.5,-1.582748015
2005/3/1,105777.5,1.036368412
2005/4/1,106862.5,1.025737988
2005/5/1,107947.5,1.01532343
2005/6/1,109140.8333,1.105475656
2005/7/1,110334.1667,1.093388512
2005/8/1,111527.5,1.081562828
2005/9/1,112500.8333,0.872729446
2005/10/1,113474.1667,0.865178776
2005/11/1,114447.5,0.857757639
2005/12/1,112571.1667,-1.639470791
2006/1/1,110694.8333,-1.666797448
2006/2/1,108818.5,-1.695050507
2006/3/1,110269,1.332953496
2006/4/1,111719.5,1.315419565
2006/5/1,113170,1.298340934
2006/6/1,114258.5,0.961827339
2006/7/1,115347,0.952664353
2006/8/1,116435.5,0.943674304
2006/9/1,117237.6667,0.688936507
2006/10/1,118039.8333,0.684222647
2006/11/1,118842,0.679572856
