,cola,colB,colc,winner
1,FOOD,95,BREAD AND CEREALS,A
2,BREAD AND CEREALS,16,MEAT,Tie
3,RICE,..,FISH,A
4,FLOURS AND OTHER CEREALS,..,"MILK, CHEESE AND EGGS",Tie
5,BREAD,..,OILS AND FATS,Tie
6,OTHER BAKERY PRODUCTS,..,FRUIT,A
7,PIZZA AND QUICHE,..,VEGETABLES INCLUDING POTATOES AND TUBERS,Tie
8,PASTA PRODUCTS AND COUSCOUS,..,"SUGAR, JAM, SYRUPS, CHOCOLATE AND CONFECTIONERY",Tie
9,BREAKFAST CEREALS AND OTHER CEREAL PRODUCTS,..,FOOD PRODUCTS (NEC),Tie
10,MEAT,21,"COFFEE, TEA AND COCOA",A
11,BEEF AND VEAL,..,"MINERAL WATERS, SOFT DRINKS AND JUICES",Tie
12,PORK,..,SPIRITS,Tie
13,LAMB AND GOAT,..,WINE,Tie
14,POULTRY,..,BEER,A
15,EDIBLE OFFAL,..,TOBACCO,Tie
16,"DRIED, SALTED OR SMOKED MEAT",..,GARMENTS,Tie
17,OTHER MEAT PREPARATIONS,..,OTHER CLOTHING AND CLOTHING ACCESSORIES,A
18,FISH,5,"CLEANING, REPAIR AND HIRE OF CLOTHING",A
19,FRESH OR CHILLED FISH,..,FOOTWEAR INCLUDING REPAIRS,A
20,FROZEN SEAFOOD,..,ACTUAL RENTALS FOR HOUSING,A
21,OTHER PRESERVED OR PROCESSED FISH AND SEAFOOD BASED PREPS,..,MATERIALS FOR MAINTENANCE AND REPAIR,A
22,"MILK, CHEESE AND EGGS",14,SERVICES FOR MAINTENANCE AND REPAIR,Tie
23,WHOLE MILK,..,WATER SUPPLY,A
24,LOW FAT MILK,..,SEWERAGE COLLECTION,Tie
25,YOGHURT,..,ELECTRICITY,A
26,CHEESE AND CURD,..,GAS,Tie
27,OTHER MILK PRODUCTS,..,LIQUID FUELS,A
28,EGGS,..,SOLID FUELS,Tie
29,OILS AND FATS,2,FURNITURE AND FURNISHINGS,A
30,BUTTER,..,CARPETS AND OTHER FLOOR COVERINGS,Tie
31,MARGARINE AND OTHER VEGETABLE FATS,..,HOUSEHOLD TEXTILES,A
32,OLIVE OIL,..,MAJOR APPLIANCES AND SMALL ELECTRIC GOODS,A
33,FRUIT,9,REPAIR OF HOUSEHOLD APPLIANCES,Tie
34,FRESH OR CHILLED FRUIT,..,"GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS",Tie
