"year","month","value"
1997,3,-0.534759358288761
1997,4,-0.134408602150549
1997,5,0
1997,6,-0.26917900403769
1997,7,-0.53981106612685
1997,8,0.542740841248301
1997,9,0.404858299595157
1997,10,0
1997,11,-0.134408602150549
1997,12,-0.403768506056523
1998,1,-0.405405405405401
1998,2,-0.678426051560377
1998,3,-0.273224043715847
1998,4,-0.273972602739725
1998,5,0.137362637362659
1998,6,-0.274348422496573
1998,7,0
1998,8,-0.275103163686385
1998,9,-0.137931034482752
1998,10,-0.138121546961334
1998,11,-0.276625172890732
1998,12,-0.416088765603329
1999,1,-0.1392757660167
1999,2,0.139470013946985
1999,3,0.139275766016733
1999,4,0.417246175243391
1999,5,0
1999,6,-0.138504155124664
1999,7,0.138696255201132
1999,8,0.277008310249305
1999,9,0.41436464088398
1999,10,0.137551581843187
1999,11,0.137362637362659
1999,12,0.411522633744843
2000,1,0.136612021857907
2000,2,0.136425648021832
2000,3,0.27247956403269
2000,4,0
2000,5,0
2000,6,0.679347826086962
2000,7,0.134952766531726
2000,8,-0.404312668463613
2000,9,0.405953991880925
2000,10,0.269541778975735
2000,11,0
2000,12,-0.403225806451624
2001,1,-0.80971659919028
2001,2,-0.408163265306116
2001,3,0.273224043715858
2001,4,0.408719346049047
2001,5,0.407055630936215
2001,6,0.135135135135123
2001,7,-0.269905533063408
2001,8,-0.270635994587287
2001,9,-0.135685210312086
2001,10,-0.271739130434767
2001,11,-0.95367847411445
2001,12,-0.412654745529573
2002,1,0.276243093922646
2002,2,0
2002,3,0.275482093663926
2002,4,0.686813186813184
2002,5,0.136425648021832
2002,6,-0.136239782016356
2002,7,0
2002,8,0
2002,9,0.272851296043664
2002,10,0.136054421768694
2002,11,-0.135869565217384
2002,12,0.136054421768694
2003,1,0.543478260869579
2003,2,0.540540540540557
2003,3,1.0752688172043
2003,4,-0.664893617021278
2003,5,-0.535475234270422
2003,6,-0.26917900403769
2003,7,0.134952766531726
2003,8,0.269541778975735
2003,9,0.134408602150526
2003,10,-0.134228187919461
2003,11,0.134408602150526
2003,12,0.134228187919461
2004,1,0.268096514745308
2004,2,0.133689839572204
2004,3,0.400534045393863
2004,4,0.39893617021276
2004,5,0.794701986754953
2004,6,0.131406044678073
2004,7,0.262467191601057
