Title,CPI INDEX 00: ALL ITEMS 2015=100,
CDID,D7BT,
Source dataset ID,MM23,
PreUnit,,
Unit,"Index, base year = 100",
Release date,18-05-2022,
Next release,22-Jun-22,
Important notes,,
1988,49.6,
1989,52.2,
1990,55.9,
1991,60.1,
1992,62.6,
1993,64.2,
1994,65.5,
1995,67.2,
1996,68.8,
1997,70.1,
1998,71.2,
1999,72.1,
2000,72.7,
2001,73.6,
2002,74.5,
2003,75.5,
2004,76.5,
2005,78.1,
2006,79.9,
2007,81.8,
2008,84.7,
2009,86.6,
2010,89.4,
2011,93.4,
2012,96.1,
2013,98.5,
2014,100,
2015,100,
2016,100.7,
2017,103.4,
2018,105.9,
2019,107.8,
2020,108.7,
2021,111.6,
1988 Q1,48.6,
1988 Q2,49.5,
1988 Q3,49.9,
1988 Q4,50.5,
1989 Q1,51,
1989 Q2,52.1,
1989 Q3,52.5,
1989 Q4,53.3,
1990 Q1,53.9,
1990 Q2,55.6,
1990 Q3,56.4,
1990 Q4,57.5,
1991 Q1,57.7,
1991 Q2,60.3,
1991 Q3,60.8,
1991 Q4,61.5,
1992 Q1,61.7,
1992 Q2,62.8,
1992 Q3,62.7,
1992 Q4,63.1,
1993 Q1,63.2,
1993 Q2,64.4,
1993 Q3,64.5,
1993 Q4,64.7,
1994 Q1,64.7,
1994 Q2,65.7,
1994 Q3,65.6,
1994 Q4,65.8,
1995 Q1,66.3,
1995 Q2,67.3,
1995 Q3,67.4,
1995 Q4,67.7,
1996 Q1,68.1,
1996 Q2,68.9,
1996 Q3,68.9,
1996 Q4,69.4,
1997 Q1,69.4,
1997 Q2,70,
1997 Q3,70.3,
1997 Q4,70.6,
1998 Q1,70.5,
1998 Q2,71.3,
1998 Q3,71.2,
1998 Q4,71.6,
1999 Q1,71.6,
1999 Q2,72.3,
1999 Q3,72.1,
1999 Q4,72.5,
2000 Q1,72.1,
2000 Q2,72.7,
2000 Q3,72.7,
2000 Q4,73.2,
2001 Q1,72.8,
2001 Q2,73.8,
2001 Q3,73.8,
2001 Q4,73.9,
2002 Q1,73.9,
2002 Q2,74.5,
2002 Q3,74.6,
2002 Q4,75,
2003 Q1,75,
2003 Q2,75.5,
2003 Q3,75.6,
2003 Q4,76,
2004 Q1,75.9,
2004 Q2,76.5,
2004 Q3,76.6,
2004 Q4,77.1,
2005 Q1,77.3,
2005 Q2,78,
2005 Q3,78.4,
2005 Q4,78.8,
2006 Q1,78.7,
2006 Q2,79.8,
2006 Q3,80.3,
2006 Q4,80.9,
2007 Q1,81,
2007 Q2,81.8,
2007 Q3,81.7,
2007 Q4,82.6,
2008 Q1,82.9,
2008 Q2,84.6,
2008 Q3,85.7,
2008 Q4,85.8,
2009 Q1,85.4,
2009 Q2,86.4,
2009 Q3,86.9,
2009 Q4,87.6,
2010 Q1,88.2,
2010 Q2,89.3,
2010 Q3,89.6,
2010 Q4,90.5,
2011 Q1,91.8,
2011 Q2,93.3,
2011 Q3,93.8,
2011 Q4,94.7,
2012 Q1,95.1,
2012 Q2,95.8,
2012 Q3,96.1,
2012 Q4,97.3,
2013 Q1,97.7,
2013 Q2,98.4,
2013 Q3,98.7,
2013 Q4,99.3,
2014 Q1,99.4,
2014 Q2,100.1,
2014 Q3,100.1,
2014 Q4,100.2,
2015 Q1,99.5,
2015 Q2,100.1,
2015 Q3,100.1,
2015 Q4,100.3,
2016 Q1,99.8,
2016 Q2,100.4,
2016 Q3,100.9,
2016 Q4,101.5,
2017 Q1,102,
2017 Q2,103.2,
2017 Q3,103.7,
2017 Q4,104.6,
2018 Q1,104.7,
2018 Q2,105.7,
2018 Q3,106.3,
2018 Q4,106.9,
2019 Q1,106.7,
2019 Q2,107.8,
2019 Q3,108.3,
2019 Q4,108.5,
2020 Q1,108.5,
2020 Q2,108.5,
2020 Q3,108.9,
2020 Q4,109,
2021 Q1,109.2,
2021 Q2,110.7,
2021 Q3,111.9,
2021 Q4,114.4,
2022 Q1,115.9,TABLE 57
1988 JAN,48.4,48.395
1988 FEB,48.6,48.551
1988 MAR,48.7,48.717
1988 APR,49.3,49.28
1988 MAY,49.5,49.529
1988 JUN,49.7,49.73
1988 JUL,49.7,49.72
1988 AUG,49.9,49.88
1988 SEP,50.1,50.122
1988 OCT,50.3,50.347
1988 NOV,50.5,50.534
1988 DEC,50.6,50.608
1989 JAN,50.8,50.765
1989 FEB,51,50.959
1989 MAR,51.2,51.158
1989 APR,51.9,51.871
1989 MAY,52.2,52.168
1989 JUN,52.3,52.339
1989 JUL,52.3,52.288
1989 AUG,52.4,52.373
1989 SEP,52.7,52.722
1989 OCT,53.1,53.108
1989 NOV,53.3,53.326
1989 DEC,53.4,53.393
1990 JAN,53.6,53.637
1990 FEB,54,53.954
1990 MAR,54.2,54.217
1990 APR,55.2,55.211
1990 MAY,55.7,55.735
1990 JUN,55.9,55.929
1990 JUL,55.8,55.836
1990 AUG,56.4,56.416
1990 SEP,57,57.007
1990 OCT,57.4,57.428
1990 NOV,57.5,57.485
1990 DEC,57.5,57.46
1991 JAN,57.4,57.421
1991 FEB,57.7,57.74
1991 MAR,57.9,57.933
1991 APR,59.9,59.873
1991 MAY,60.3,60.294
1991 JUN,60.6,60.621
1991 JUL,60.5,60.455
1991 AUG,60.9,60.87
1991 SEP,61.1,61.058
1991 OCT,61.3,61.306
1991 NOV,61.5,61.547
1991 DEC,61.6,61.599
1992 JAN,61.4,61.423
1992 FEB,61.7,61.707
1992 MAR,62,62.02
1992 APR,62.7,62.694
1992 MAY,62.9,62.911
1992 JUN,62.9,62.939
1992 JUL,62.6,62.625
1992 AUG,62.7,62.666
1992 SEP,62.9,62.874
1992 OCT,63.1,63.072
1992 NOV,63.1,63.117
1992 DEC,63.2,63.17
1993 JAN,62.8,62.8
1993 FEB,63.2,63.187
1993 MAR,63.6,63.561
1993 APR,64.3,64.256
1993 MAY,64.5,64.495
1993 JUN,64.5,64.454
1993 JUL,64.2,64.249
1993 AUG,64.5,64.495
1993 SEP,64.8,64.797
1993 OCT,64.7,64.703
1993 NOV,64.6,64.561
1993 DEC,64.7,64.692
1994 JAN,64.5,64.477
1994 FEB,64.8,64.777
1994 MAR,65,64.981
1994 APR,65.5,65.55
1994 MAY,65.8,65.759
1994 JUN,65.8,65.757
1994 JUL,65.4,65.354
1994 AUG,65.7,65.709
1994 SEP,65.8,65.794
1994 OCT,65.7,65.684
1994 NOV,65.7,65.75
1994 DEC,66,66.015
1995 JAN,66,66.03
1995 FEB,66.3,66.323
1995 MAR,66.7,66.67
1995 APR,67,67.049
1995 MAY,67.4,67.386
1995 JUN,67.4,67.45
1995 JUL,67.1,67.098
1995 AUG,67.4,67.419
1995 SEP,67.7,67.749
1995 OCT,67.6,67.564
1995 NOV,67.6,67.567
1995 DEC,68,67.964
1996 JAN,67.8,67.775
1996 FEB,68.1,68.095
1996 MAR,68.4,68.378
1996 APR,68.7,68.734
1996 MAY,68.9,68.946
1996 JUN,69,69.013
1996 JUL,68.6,68.575
1996 AUG,68.9,68.942
1996 SEP,69.3,69.282
1996 OCT,69.3,69.257
1996 NOV,69.3,69.306
1996 DEC,69.5,69.519
1997 JAN,69.2,69.231
1997 FEB,69.4,69.399
1997 MAR,69.5,69.549
1997 APR,69.8,69.805
1997 MAY,70,70.021
1997 JUN,70.2,70.168
1997 JUL,69.9,69.943
1997 AUG,70.3,70.305
1997 SEP,70.6,70.553
1997 OCT,70.6,70.571
1997 NOV,70.6,70.637
1997 DEC,70.7,70.708
1998 JAN,70.3,70.254
1998 FEB,70.5,70.498
1998 MAR,70.7,70.7
1998 APR,71.1,71.072
1998 MAY,71.4,71.449
1998 JUN,71.3,71.343
1998 JUL,71,70.952
1998 AUG,71.2,71.238
1998 SEP,71.5,71.548
1998 OCT,71.5,71.534
1998 NOV,71.6,71.59
1998 DEC,71.8,71.808
1999 JAN,71.4,71.367
1999 FEB,71.5,71.489
1999 MAR,71.9,71.88
1999 APR,72.2,72.168
1999 MAY,72.4,72.382
1999 JUN,72.3,72.306
1999 JUL,71.9,71.877
1999 AUG,72.1,72.097
1999 SEP,72.4,72.387
1999 OCT,72.3,72.33
1999 NOV,72.4,72.435
1999 DEC,72.6,72.615
2000 JAN,71.9,71.936
2000 FEB,72.2,72.159
2000 MAR,72.3,72.338
2000 APR,72.6,72.573
2000 MAY,72.8,72.771
2000 JUN,72.9,72.876
2000 JUL,72.5,72.508
2000 AUG,72.5,72.526
2000 SEP,73.1,73.083
2000 OCT,73.1,73.05
2000 NOV,73.2,73.205
2000 DEC,73.2,73.2
2001 JAN,72.6,72.553
2001 FEB,72.7,72.749
2001 MAR,73,72.995
2001 APR,73.4,73.42
2001 MAY,74,73.98
2001 JUN,74.1,74.126
2001 JUL,73.6,73.559
2001 AUG,73.9,73.852
2001 SEP,74.1,74.054
2001 OCT,73.9,73.933
2001 NOV,73.8,73.788
2001 DEC,74,73.975
2002 JAN,73.7,73.736
2002 FEB,73.8,73.824
2002 MAR,74.1,74.116
2002 APR,74.4,74.426
2002 MAY,74.6,74.592
2002 JUN,74.6,74.583
2002 JUL,74.4,74.372
2002 AUG,74.6,74.586
2002 SEP,74.8,74.789
2002 OCT,74.9,74.944
2002 NOV,74.9,74.928
2002 DEC,75.2,75.204
2003 JAN,74.7,74.721
2003 FEB,75,74.989
2003 MAR,75.3,75.255
2003 APR,75.5,75.502
2003 MAY,75.5,75.528
2003 JUN,75.4,75.408
2003 JUL,75.3,75.346
2003 AUG,75.6,75.623
2003 SEP,75.9,75.858
2003 OCT,76,75.959
