date,Total_expenditure
1997/1/1,48694.33333
1997/2/1,73041.5
1997/3/1,73719.66667
1997/4/1,74397.83333
1997/5/1,75076
1997/6/1,76408.33333
1997/7/1,77740.66667
1997/8/1,79073
1997/9/1,79125.83333
1997/10/1,79178.66667
1997/11/1,79231.5
1997/12/1,78427.33333
1998/1/1,77623.16667
1998/2/1,76819
1998/3/1,77725.5
1998/4/1,78632
1998/5/1,79538.5
1998/6/1,80777.5
1998/7/1,82016.5
1998/8/1,83255.5
1998/9/1,83626.33333
1998/10/1,83997.16667
1998/11/1,84368
1998/12/1,83619.83333
1999/1/1,82871.66667
1999/2/1,82123.5
1999/3/1,82735.16667
1999/4/1,83346.83333
1999/5/1,83958.5
1999/6/1,84581.66667
1999/7/1,85204.83333
1999/8/1,85828
1999/9/1,86518.83333
1999/10/1,87209.66667
1999/11/1,87900.5
1999/12/1,87080.66667
2000/1/1,86260.83333
2000/2/1,85441
2000/3/1,86175.83333
2000/4/1,86910.66667
2000/5/1,87645.5
2000/6/1,88901.66667
2000/7/1,90157.83333
2000/8/1,91414
2000/9/1,91707.5
2000/10/1,92001
2000/11/1,92294.5
2000/12/1,90940.33333
2001/1/1,89586.16667
2001/2/1,88232
2001/3/1,89367.66667
2001/4/1,90503.33333
2001/5/1,91639
2001/6/1,92577.16667
2001/7/1,93515.33333
2001/8/1,94453.5
2001/9/1,94884.33333
2001/10/1,95315.16667
2001/11/1,95746
2001/12/1,94293.66667
2002/1/1,92841.33333
2002/2/1,91389
2002/3/1,92385.5
2002/4/1,93382
2002/5/1,94378.5
2002/6/1,95302.33333
2002/7/1,96226.16667
2002/8/1,97150
2002/9/1,98039.5
2002/10/1,98929
2002/11/1,99818.5
2002/12/1,97911.83333
2003/1/1,96005.16667
2003/2/1,94098.5
2003/3/1,95702
2003/4/1,97305.5
2003/5/1,98909
2003/6/1,100066.6667
2003/7/1,101224.3333
2003/8/1,102382
2003/9/1,103151.8333
2003/10/1,103921.6667
2003/11/1,104691.5
2003/12/1,102935.5
2004/1/1,101179.5
2004/2/1,99423.5
2004/3/1,100708.5
2004/4/1,101993.5
2004/5/1,103278.5
2004/6/1,104410.1667
2004/7/1,105541.8333
2004/8/1,106673.5
2004/9/1,107696.8333
2004/10/1,108720.1667
2004/11/1,109743.5
2004/12/1,108059.8333
2005/1/1,106376.1667
2005/2/1,104692.5
2005/3/1,105777.5
2005/4/1,106862.5
2005/5/1,107947.5
2005/6/1,109140.8333
2005/7/1,110334.1667
2005/8/1,111527.5
2005/9/1,112500.8333
2005/10/1,113474.1667
2005/11/1,114447.5
2005/12/1,112571.1667
2006/1/1,110694.8333
2006/2/1,108818.5
2006/3/1,110269
2006/4/1,111719.5
2006/5/1,113170
2006/6/1,114258.5
2006/7/1,115347
2006/8/1,116435.5
2006/9/1,117237.6667
2006/10/1,118039.8333
2006/11/1,118842
2006/12/1,117152.3333
2007/1/1,115462.6667
2007/2/1,113773
2007/3/1,115143.3333
2007/4/1,116513.6667
2007/5/1,117884
2007/6/1,119315.1667
2007/7/1,120746.3333
2007/8/1,122177.5
2007/9/1,123338.6667
2007/10/1,124499.8333
2007/11/1,125661
2007/12/1,124021.3333
2008/1/1,122381.6667
2008/2/1,120742
2008/3/1,121625.5
2008/4/1,122509
2008/5/1,123392.5
2008/6/1,123997.8333
2008/7/1,124603.1667
2008/8/1,125208.5
2008/9/1,125276.1667
2008/10/1,125343.8333
2008/11/1,125411.5
2008/12/1,122879.3333
2009/1/1,120347.1667
2009/2/1,117815
2009/3/1,118000.5
2009/4/1,118186
2009/5/1,118371.5
2009/6/1,119368.1667
2009/7/1,120364.8333
2009/8/1,121361.5
2009/9/1,122433.1667
2009/10/1,123504.8333
2009/11/1,124576.5
2009/12/1,122387
2010/1/1,120197.5
2010/2/1,118008
2010/3/1,119573.1667
2010/4/1,121138.3333
2010/5/1,122703.5
