item_id,item_des,clear weight,frequency,rebase weight,,,,,,,,
610229,"Automatic car wash, drive through basic charge",1.44,3.7,2.17,,2.17,,,,,,
520115,"Contact lens, Soft pair (state type/condition)",1.08,4.1,1.63,,3.8,,,,,,
310314,BOTTLE OF CHAMPAGNE,1.03,4.5,1.55,,5.35,,,,,,
630354,PRINT OFF UPTO 50 DIGITAL PHOTOS,0,4.5,0,,5.35,,,,,,
620315,Car Park Charges         ,1.02,5.1,1.54,,6.89,,,,,,
220305,TEA -TAKE-AWAY,1.03,5.2,1.55,,8.44,,,,,,
640110,"Daily film rental, new release (specify DVD/Video)",0.4,5.2,0.6,,9.04,,,,,,
520129,"Prescription lenses (point focal, 70mm diameter)",1.08,5.5,1.63,,10.67,,,,,,
630320,Develop & print (135/24 colour film),0.8,5.5,1.2,,11.87,,,,,,
220304,COFFEE -TAKE-AWAY,1.03,5.6,1.55,,13.42,,,,,,
520125,Daily disposable contact lenses,1.02,5.7,1.54,,14.96,,,,,,
220310,POTATO CRISPS-INDIVIDUAL PACK,1.03,5.8,1.55,,16.51,,,,,,
220319,CHINESE TAKEAWAY,2.06,5.9,3.1,,19.61,,,,,,
220323,KEBAB- TAKEAWAY,2.06,5.9,3.1,,22.71,,,,,,
520320,FLORIST - DELIVERY COST,1.43,5.9,2.15,,24.86,,,,,,
440117,TV repair (state hour/min/complete)                    ,0.5,6,0.75,,25.61,,,,,,
220211,STAFF RESTAURANT FIZZY DRINK,2.34,6.1,3.52,,29.13,,,,,,
520309,Eyesight Test charge,0.4,6.1,0.6,,29.73,,,,,,
220322,BURGER IN BUN- TAKEAWAY,2.06,6.2,3.1,,32.83,,,,,,
440120,CHILD MINDER - HOURLY RATE,1.2,6.2,1.81,,34.64,,,,,,
220111,Restaurant - Main Course 1st,3.09,6.3,4.65,,39.29,,,,,,
220121,RESTAURANT CUP OF COFFEE,2.06,6.3,3.1,,42.39,,,,,,
220317,PASTY/SAVOURY PIE - TAKEAWAY,2.06,6.4,3.1,,45.49,,,,,,
410630,Woodscrew's - Steel/zinc plated specify length,0.88,6.4,1.32,,46.81,,,,,,
220318,INDIAN TAKEAWAY,2.06,6.5,3.1,,49.91,,,,,,
440116,Washing machine repair (state hour/min/complete),0.5,6.5,0.75,,50.66,,,,,,
520313,Non-NHS Medicine (Physiotherapy per session),0.8,6.6,1.2,,51.86,,,,,,
440113,"Window cleaning, 3 bed semi (outside only)",0.06,6.7,0.09,,51.95,,,,,,
