,x
Jan-05,0
Feb-05,0
Mar-05,0
Apr-05,0
May-05,0
Jun-05,0
Jul-05,0
Aug-05,0
Sep-05,0
Oct-05,0
Nov-05,0
Dec-05,0
Jan-06,0
Feb-06,0.077978358
Mar-06,-0.087343769
Apr-06,-0.188809692
May-06,0.110659947
Jun-06,0.112665911
Jul-06,0.34084463
Aug-06,0.605113395
Sep-06,0.732474903
Oct-06,0.754886397
Nov-06,0.829335048
Dec-06,0.93005896
Jan-07,1.063488701
Feb-07,0.116741808
Mar-07,0.272802659
Apr-07,0.535611296
May-07,0.365312078
Jun-07,0.379463913
Jul-07,0.165294413
Aug-07,-0.068028421
Sep-07,0.091012376
Oct-07,0.309706331
Nov-07,0.359965858
Dec-07,0.479611455
Jan-08,0.470632487
Feb-08,-0.006120534
Mar-08,0.191764518
Apr-08,0.236214037
May-08,0.400179707
Jun-08,0.805764798
Jul-08,1.08689063
Aug-08,1.422931616
Sep-08,1.584336254
Oct-08,1.50550139
Nov-08,1.875043357
Dec-08,0.950900996
Jan-09,1.012066677
Feb-09,0.37430105
Mar-09,0.324248063
Apr-09,0.133214826
May-09,0.035072646
Jun-09,-0.432032221
Jul-09,-0.607979504
Aug-09,-0.939436261
Sep-09,-1.3256612
Oct-09,-1.280222207
Nov-09,-1.738664083
Dec-09,-0.900462643
Jan-10,-0.777841198
Feb-10,-0.234905391
Mar-10,-0.246480025
Apr-10,0.03890947
May-10,-0.076399972
Jun-10,-0.046090291
Jul-10,0.000181987
Aug-10,0.201857232
Sep-10,0.450782839
Oct-10,0.193313736
Nov-10,0.604580573
Dec-10,0.729987481
Jan-11,1.288885008
Feb-11,0.21809344
Mar-11,0.077802146
Apr-11,-0.086148535
May-11,0.180333072
Jun-11,0.439408842
Jul-11,0.506924716
Aug-11,0.551777685
Sep-11,0.716603952
Oct-11,0.601431541
Nov-11,0.248425529
Dec-11,0.14263754
Jan-12,-0.715346375
Feb-12,-0.059286005
Mar-12,-0.117574449
Apr-12,-0.221334393
May-12,-0.502128732
Jun-12,-0.684642929
Jul-12,-0.675021703
Aug-12,-1.011976518
Sep-12,-1.086688187
Oct-12,-1.062504452
Nov-12,-0.911748558
Dec-12,-0.96219711
Jan-13,-1.077860321
Feb-13,-0.18675354
Mar-13,-0.032297026
Apr-13,-0.085175658
May-13,-0.04307228
Jun-13,-0.110776774
Jul-13,-0.222973123
Aug-13,-0.001790916
Sep-13,-0.156931398
Oct-13,0.094207733
Nov-13,0.050233237
Dec-13,-0.025863909
Jan-14,0.00507735
Feb-14,0.084301269
Mar-14,0.096813467
Apr-14,0.055727807
May-14,-0.125162812
Jun-14,-0.116419663
Jul-14,-0.186355598
Aug-14,-0.258732872
Sep-14,-0.351413198
Oct-14,-0.484095338
Nov-14,-0.553612527
Dec-14,-0.512227607
Jan-15,-0.704812343
Feb-15,-0.164393115
Mar-15,-0.214086919
Apr-15,-0.32747299
May-15,-0.095965731
Jun-15,-0.27842169
Jul-15,-0.270166704
Aug-15,-0.298313931
Sep-15,-0.285833199
Oct-15,-0.187438628
Nov-15,-0.344559801
Dec-15,-0.099163991
Jan-16,-0.05956945
Feb-16,0.003306844
Mar-16,0.018982308
Apr-16,0.164452884
May-16,0.053443253
Jun-16,0.131017279
Jul-16,0.124777243
Aug-16,0.16772238
Sep-16,0.335823105
Oct-16,0.229442317
Nov-16,0.363771797
Dec-16,0.430179182
Jan-17,0.55425073
Feb-17,0.259768572
Mar-17,0.410538597
Apr-17,0.400006921
May-17,0.448533204
Jun-17,0.584705824
Jul-17,0.708599426
Aug-17,0.706263688
Sep-17,0.65370022
Oct-17,0.883321013
Nov-17,0.947333943
Dec-17,0.791462286
Jan-18,0.730983614
Feb-18,0.014018058
Mar-18,-0.245500101
Apr-18,0.056135725
May-18,-0.023079003
Jun-18,-0.017421115
Jul-18,-0.035401428
Aug-18,-0.15424024
Sep-18,-0.00054812
Oct-18,-0.181218013
Nov-18,-0.106802121
Dec-18,-0.186668834
Jan-19,-0.142872059
Feb-19,-0.011716688
Mar-19,0.019452557
Apr-19,-0.226979053
May-19,-0.133446065
Jun-19,-0.116133369
Jul-19,-0.209123169
Aug-19,-0.030438083
Sep-19,-0.157353307
Oct-19,-0.058726309
Nov-19,-0.047933243
Dec-19,-0.08929159
