,Title,CPI.INDEX.00..ALL.ITEMS.2015.100,inflation,table57,GBRCPIALLMINMEI_PCH
239,1993 JAN,62.8,-0.632911392,-0.58572107,-0.31949
240,1993 FEB,63.2,0.636942675,0.616242038,0.48077
241,1993 MAR,63.6,0.632911392,0.591893902,0.47847
242,1993 APR,64.3,1.100628931,1.0934378,0.63492
243,1993 MAY,64.5,0.311041991,0.371949701,0.31546
244,1993 JUN,64.5,0,-0.063570819,0
245,1993 JUL,64.2,-0.465116279,-0.318056288,-0.31447
246,1993 AUG,64.5,0.46728972,0.382885337,0.47319
247,1993 SEP,64.8,0.465116279,0.468253353,0.47096
248,1993 OCT,64.7,-0.154320988,-0.145068445,0
249,1993 NOV,64.6,-0.154559505,-0.219464322,-0.3125
250,1993 DEC,64.7,0.154798762,0.202908877,0.31348
251,1994 JAN,64.5,-0.309119011,-0.33234403,0
252,1994 FEB,64.8,0.465116279,0.465282194,0.3125
253,1994 MAR,65,0.308641975,0.314926594,0.31153
254,1994 APR,65.5,0.769230769,0.875640572,0.7764
255,1994 MAY,65.8,0.458015267,0.31884058,0.30817
256,1994 JUN,65.8,0,-0.003041409,0
257,1994 JUL,65.4,-0.607902736,-0.612862509,-0.61444
258,1994 AUG,65.7,0.458715596,0.54319552,0.61824
259,1994 SEP,65.8,0.152207002,0.129358231,0.15361
260,1994 OCT,65.7,-0.151975684,-0.167188497,-0.15337
261,1994 NOV,65.7,0,0.100481091,0.15361
262,1994 DEC,66,0.456621005,0.403041825,0.46012
263,1995 JAN,66,0,0.022722109,0
264,1995 FEB,66.3,0.454545455,0.443737695,0.30534
265,1995 MAR,66.7,0.60331825,0.523197081,0.45662
266,1995 APR,67,0.449775112,0.568471576,0.60606
267,1995 MAY,67.4,0.597014925,0.502617489,0.45181
268,1995 JUN,67.4,0,0.094975217,0.14993
269,1995 JUL,67.1,-0.445103858,-0.52186805,-0.2994
270,1995 AUG,67.4,0.44709389,0.478404721,0.45045
271,1995 SEP,67.7,0.445103858,0.48947626,0.44843
272,1995 OCT,67.6,-0.147710487,-0.273066761,-0.14881
273,1995 NOV,67.6,0,0.004440234,0
274,1995 DEC,68,0.591715976,0.587564936,0.59613
275,1996 JAN,67.8,-0.294117647,-0.2780884,-0.14815
276,1996 FEB,68.1,0.442477876,0.472150498,0.4451
277,1996 MAR,68.4,0.440528634,0.415595859,0.29542
278,1996 APR,68.7,0.438596491,0.520635292,0.5891
279,1996 MAY,68.9,0.291120815,0.308435418,0.43924
280,1996 JUN,69,0.145137881,0.097177501,0.14577
281,1996 JUL,68.6,-0.579710145,-0.634663035,-0.58224
282,1996 AUG,68.9,0.437317784,0.535180459,0.58565
283,1996 SEP,69.3,0.580551524,0.49316817,0.43668
284,1996 OCT,69.3,0,-0.036084409,0.14493
