Back to Contents,,THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS AND SHOULD BE USED FOR ANALYTICAL PURPOSES ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 57,CPI: Detailed indices to 3 dp: 1988 to 20221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aggregate number,0,1,01.1,01.1.1,01.1.2,01.1.3,01.1.4,01.1.5,01.1.6,01.1.7,01.1.8,01.1.9,01.2,01.2.1,01.2.2,2,02.1,02.1.1,02.1.2,02.1.3,02.2,3,03.1,03.1.2,03.1.3,03.1.4,03.2,4,04.1,04.3,04.3.1,04.3.2,04.4,04.4.1,04.4.3,04.5,04.5.1,04.5.2,04.5.3,04.5.4,5,05.1,05.1.1,05.1.2,05.2,05.3,05.3.1,05.3.3,05.4,05.5,05.6,05.6.1,05.6.2,6,06.1,06.1.1,06.1.2,06.2,06.2.1,06.2.2,06.3,7,07.1,07.1.2,07.1.1,07.1.1,07.2,07.2.1,07.2.2,07.2.3,07.2.4,07.3,07.3.1,07.3.2,07.3.3,07.3.4,8,08.1,08.2,9,09.1,09.1.1,09.1.2,09.1.3,09.1.4,09.1.5,09.2,09.2.1,09.3,09.3.1,09.3.2,09.3.3,09.3.4,09.4,09.4.1,09.4.2,09.5,09.5.1,09.5.2,09.5.3,09.6,10,11,11.1,11.1.1,11.1.2,11.2,12,12.1,12.1.1,12.1.2,12.3,12.3.1,12.3.2,12.4,12.5,12.5.2,12.5.3,12.5.4,12.6,12.6.2,12.7,,Agg2,Agg3,Agg4,Agg5,Agg6,Agg9,Agg10,Agg11,Agg12,Agg13,Agg14,Agg15,Agg16,Agg17,Agg18,Agg19,Agg20,Agg21,Agg23,Agg24,Agg25,Agg26,Agg27,Agg30,Agg31,Agg32,Agg33,Agg36,Agg18.1,Agg18.2,Agg40,Agg41,Agg42,Agg43,Agg44,Agg45,Agg46,Agg47,Agg48,Agg49,Agg50,Agg51,Agg52,Agg53,Agg54,Agg55,Agg56,Agg57,Agg58,Agg59,Agg60,,
,cdid,D7BT,D7BU,D7C8,D7D5,D7D6,D7D7,D7D8,D7D9,D7DA,D7DB,D7DC,D7DD,D7C9,D7DE,D7DF,D7BV,D7CA,D7DG,D7DH,D7DI,D7CB,D7BW,D7CC,D7DK,D7DL,D7DM,D7CD,D7BX,D7CE,D7CF,D7DN,D7DO,D7CG,D7DR,D7DQ,D7CH,D7DT,D7DU,D7DV,D7DW,D7BY,D7CI,D7DY,D7DZ,D7CJ,D7CK,D7E3,D7E4,D7CL,D7CM,D7CN,D7E5,D7E6,D7BZ,D7F6,D7F7,D7F8,D7F9,D7FA,D7FB,D7FC,D7C2,D7CO,D7EA,D7E8,D7E9,D7CP,D7EB,D7EC,D7ED,D7EE,D7CQ,D7EF,D7EG,D7EH,D7EI,D7C3,D7CR,D7EM,D7C4,D7CS,D7EN,D7EO,D7EP,D7ES,D7ER,D7CT,D7FD,D7CU,D7FF,D7FG,D7ET,D7EU,D7CV,D7FH,D7FI,D7FJ,D7FK,D7FL,D7FM,D7FN,D7C5,D7C6,D7CW,D7EW,D7EX,D7CX,D7C7,D7CY,D7EY,D7EZ,D7FO,D7FP,D7FQ,D7D2,D7D3,D7F2,D7EQ,D7F3,D7D4,D7CZ,D7FR,,D7F4,DK9O,DK9P,DK9Q,DK9R,DK9W,DK9X,DK9Y,DK9Z,DK9T,DK9U,DKC4,DKA2,DKA3,DKA4,DKA7,D7F5,DKA8,DKA9,DKB2,DKC3,DKB3,DKB4,DKB5,DKB6,DKB7,DKB8,DKB9,DKA5,DKA6,DKC5,DKC6,DKC8,DKC9,DKD3,DKC7,DKD2,DKD4,DKD5,DK9N,DK9J,DK9K,DK9L,DK9M,DKD6,DKD7,DKD8,DKD9,DK9V,DK9S,DKC2,,
index date   ,name,CPI ALL ITEMS,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,BREAD & CEREALS,MEAT,FISH,"MILK, CHEESE & EGGS",OILS & FATS,FRUIT,VEGETABLES INCLUDING POTATOES AND TUBERS,"SUGAR, JAM, SYRUPS, CHOCOLATE AND CONFECTIONERY",FOOD PRODUCTS (NEC),NON-ALCOHOLIC BEVERAGES,"COFFEE, TEA & COCOA","MINERAL WATERS, SOFT DRINKS AND JUICES",ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,SPIRITS,WINE,BEER,TOBACCO,CLOTHING AND FOOTWEAR,CLOTHING,GARMENTS,OTHER CLOTHING & CLOTHING ACCESSORIES,"CLEANING, REPAIR AND HIRE OF CLOTHING",FOOTWEAR INCLUDING REPAIRS,"HOUSING, WATER, ELELCTRICITY, GAS AND OTHER FUELS",ACTUAL RENTALS FOR HOUSING,REGULAR MAINTENANCE AND REPAIR OF THE DWELLING,MATERIALS FOR MAINTENANCE AND REPAIR,SERVICES FOR MAINTENANCE AND REPAIR,WATER SUPPLY AND MISC. SERVICES FOR THE DWELLING,WATER SUPPLY,SEWERAGE COLLECTION,"ELECTRICITY, GAS AND OTHER FUELS",ELECTRICITY,GAS,LIQUID FUELS,SOLID FUELS,"FURNITURE, HOUSEHOLD EQUIPMENT AND MAINTENANCE","FURNITURE, FURNISHINGS & CARPETS",FURNITURE & FURNISHINGS,CARPETS & OTHER FLOOR COVERINGS,HOUSEHOLD TEXTILES,"HOUSEHOLD APPLIANCES, FITTING AND REPAIRS",MAJOR APPLIANCES AND SMALL ELECTRIC GOODS,REPAIR OF HOUSEHOLD APPLIANCES,"GLASSWARE, TABLEWARE & HOUSEHOLD UTENSILS",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,GOODS AND SERVICES FOR ROUTINE MAINTENANCE,NON-DURABLE HOUSEHOLD GOODS,DOMESTIC SERVICES AND HOUSEHOLD SERVICES,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",PHARMACEUTICAL PRODUCTS,OTHER MEDICAL & THERAPEUTIC EQUIPMENT,OUT-PATIENT SERVICES,MEDICAL SERVICES AND PARAMEDICAL SERVICES,DENTAL SERVICES,HOSPITAL SERVICES,TRANSPORT,PURCHASE OF VEHICLES,MOTOR CYCLES AND BICYCLES,NEW CARS,SECOND-HAND CARS,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,SPARE PARTS & ACCESSORIES,FUELS & LUBRICANTS,MAINTENANCE & REPAIRS,OTHER SERVICES IN RESPECT OF PERSONAL TRANSPORT EQ,TRANSPORT SERVICES,PASSENGER TRANSPORT BY RAILWAY,PASSENGER TRANSPORT BY ROAD,PASSENGER TRANSPORT BY AIR,PASSENGER TRANSPORT BY SEA AND INLAND WATERWAY,COMMUNICATION,POSTAL SERVICES,TELEPHONE AND TELEFAX EQUIPMENT AND SERVICES,RECREATION & CULTURE,AUDIO-VISUAL EQUIPMENT AND RELATED PRODUCTS,RECEPTION AND REPRODUCTION OF SOUND AND PICTURES,PHOTOGRAPHIC AND CINE. EQU. & OPTICAL INSTRUMENTS,DATA PROCESSING EQUIPMENT,RECORDING MEDIA,REPAIR OF AUDIO-VISUAL & RELATED PRODUCTS,OTHER MAJOR DURABLES FOR RECREATION AND CULTURE,MAJOR DURABLES FOR IN/OUTDOOR RECREATION,"OTHER RECREATIONAL ITEMS, GARDENS & PETS",GAMES TOYS AND HOBBIES,EQUIPMENT FOR SPORT & OPEN-AIR RECREATION,GARDEN PLANTS AND FLOWERS,"PETS, RELATED PRODUCTS AND SERVICES",RECREATIONAL AND CULTURAL SERVICES,RECREATIONAL AND SPORTING SERVICES,CULTURAL SERVICES,"BOOKS, NEWSPAPERS AND STATIONERY",BOOKS,NEWSPAPERS AND PERIODICALS,"MISC. PRINTED MATTER, STATIONERY, DRAWING MATERIALS",PACKAGE HOLIDAY,EDUCATION,RESTAURANTS AND HOTELS,CATERING SERVICES,RESTAURANTS & CAFES,CANTEENS,ACCOMMODATION SERVICES,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,HAIRDRESSING & PERSONAL GROOMING ESTABLISHMENTS,APPLIANCES & PRODUCTS FOR PERSONAL CARE,PERSONAL EFFECTS (NEC),JEWELLERY CLOCKS AND WATCHES,OTHER PERSONAL EFFECTS,SOCIAL PROTECTION,INSURANCE,HOUSE CONTENTS INSURANCE,HEALTH INSURANCE,TRANSPORT INSURANCE,FINANCIAL SERVICES (NEC),OTHER FINANCIAL SERVICES (NEC),OTHER SERVICES (NEC),,All Goods,"Food, Alcoholic Beverages & Tobacco",Processed Food & Non-Alcoholic Beverages,Non-processed Food,Seasonal Food,Clothing & Footwear Goods,Housing Goods,Household goods,Water supply; materials for maintenance/repair,Energy,"Electricity, Gas & Misc. Energy","Liquid Fuels, Vehicle Fuels & Lubricants","Medical products, appliances and equipment","Vehicles, spare parts and accessories",Recreational Goods,Miscellaneous Goods,All Services,Housing Services,Primary Housing Services,Other Housing Services,Medical Services,Travel & Transport Services,Services for Personal Transport Equipment,Recreation & Personal Services,Package Holidays & Accommodation,Other Recreational & Personal Services,Non-Catering Recreational & Personal Services,Miscellaneous Services,Audio-Visual Goods,Other Recreational Goods,CPI excluding Energy,"CPI excluding Energy, Food, Alcohol & Tobacco",CPI excluding Seasonal Food,CPI excluding Energy & Seasonal Food,"CPI excluding Liquid Fuels, Vehicle Fuels & Lubricants",CPI excluding Energy & Non-processed Food,CPI excluding Alcohol & Tobacco,"CPI excluding Housing, Water, Electricity, Gas & Other Fuels","CPI excluding Education, Health & Social Protection",Non-Seasonal Food,Non-Energy Industrial Goods,Durables,Semi-Durables,Non-Durables,"Energy, Food, Alcohol & Tobacco",Energy & Non-processed Food,Energy & Seasonal Food,"Education, Health & Social Protection",CPI excluding tobacco,Industrial Goods,Miscellaneous and Other Services,,
198801,1月-88,48.395,48.004,48.226,50.053,53.741,43.321,48.488,45.461,49.436,53.122,37.708,55.290,45.506,51.268,43.126,27.301,54.283,50.806,51.860,65.694,16.299,192.477,201.220,221.258,100.311,33.953,153.451,31.675,31.135,39.601,51.025,31.517,21.583,21.168,22.316,29.253,33.084,25.163,32.982,31.613,68.911,62.345,66.671,51.110,119.687,108.122,122.275,..,81.389,69.357,41.075,56.961,29.814,37.880,51.771,53.642,..,..,..,..,..,40.481,87.760,64.207,..,126.807,29.199,53.239,30.397,24.760,30.367,22.499,27.727,29.430,..,..,98.061,25.432,109.683,73.734,745.024,992.324,2086.335,..,139.696,..,..,..,93.044,151.701,..,73.723,43.622,32.875,29.616,35.038,37.434,42.221,29.129,48.029,..,12.344,32.863,33.112,33.257,30.550,..,45.339,50.273,29.290,62.024,68.098,57.272,96.977,..,21.301,51.859,..,15.745,95.434,95.434,30.016,,64.591,40.476,46.318,50.862,49.066,200.432,65.577,74.652,38.596,29.216,29.011,30.424,51.772,82.732,132.701,65.193,31.243,30.525,29.168,30.104,..,23.189,25.901,32.777,..,32.888,32.298,39.330,853.223,63.286,50.412,52.937,48.347,50.423,49.470,50.235,50.114,51.304,49.945,48.314,99.376,114.318,138.376,48.751,36.743,37.009,33.856,22.302,50.142,79.030,26.499,,
198802,2月-88,48.551,48.275,48.481,50.353,53.386,43.670,48.523,45.921,50.905,54.709,37.637,55.152,45.931,51.444,43.727,27.404,54.705,51.108,52.254,66.425,16.319,193.696,202.602,222.922,100.408,34.158,154.142,31.686,31.160,39.819,51.353,31.640,21.583,21.168,22.316,29.190,33.084,25.163,31.374,31.686,69.282,62.756,67.034,51.698,121.064,108.355,122.539,..,81.774,69.706,41.278,57.240,29.981,37.936,51.847,53.721,..,..,..,..,..,40.461,87.478,64.306,..,126.363,29.212,54.781,30.111,24.996,30.490,22.619,27.727,29.692,..,..,98.049,25.432,109.669,73.944,742.884,989.685,2081.077,..,139.227,..,..,..,93.566,152.819,..,74.273,43.744,32.888,29.627,35.051,37.809,42.643,29.421,48.509,..,12.348,33.018,33.267,33.412,30.697,..,45.524,50.450,29.473,62.157,68.251,57.401,97.196,..,21.301,51.859,..,15.745,95.491,95.491,30.358,,64.759,40.685,46.474,51.300,50.357,201.703,65.927,75.054,38.797,29.069,29.018,30.055,51.848,82.774,133.203,65.336,31.387,30.567,29.240,30.272,..,23.332,26.105,32.910,..,33.022,32.362,39.732,850.772,63.770,50.622,53.138,48.460,50.586,49.664,50.423,50.274,51.493,50.108,48.284,99.765,114.255,139.398,49.000,36.824,37.043,33.966,22.318,50.308,79.181,26.639,,
198803,3月-88,48.717,48.424,48.622,50.311,53.721,43.130,48.551,46.108,50.650,55.269,37.856,55.116,46.160,51.420,44.127,27.473,55.046,51.567,52.462,66.933,16.322,195.286,204.144,224.736,100.740,34.341,155.722,31.681,31.183,39.922,51.524,31.681,21.583,21.168,22.316,29.135,33.084,25.163,30.139,31.662,69.820,63.685,68.062,52.345,122.279,108.813,123.056,..,82.138,69.909,41.466,57.468,30.322,38.470,52.577,54.477,..,..,..,..,..,40.705,88.514,64.859,..,127.885,29.272,55.018,30.132,25.124,30.504,22.619,27.727,29.692,..,..,98.055,25.432,109.676,73.972,740.871,983.969,2085.896,..,139.476,..,..,..,93.723,153.024,..,74.676,43.742,32.949,29.682,35.117,37.839,42.677,29.444,48.548,..,12.349,33.107,33.357,33.503,30.784,..,45.553,50.572,29.597,62.253,67.899,57.105,96.694,..,21.301,51.859,..,15.745,95.660,95.660,30.485,,65.010,40.804,46.561,51.540,50.503,203.373,66.363,75.633,38.901,29.044,29.015,29.998,52.578,83.681,133.178,65.249,31.459,30.596,29.263,30.617,..,23.373,26.202,32.998,..,33.111,32.446,39.887,848.466,63.851,50.820,53.365,48.627,50.785,49.846,50.616,50.449,51.697,50.278,48.425,100.376,115.203,140.239,49.140,36.892,37.102,33.971,22.432,50.487,79.543,26.692,,
198804,4月-88,49.280,48.693,48.874,50.548,53.736,43.151,48.861,46.249,51.559,55.704,38.021,55.874,46.593,51.497,44.806,27.863,55.665,51.922,53.030,68.229,16.585,195.647,204.462,225.033,100.944,34.583,156.166,32.527,32.915,40.157,51.670,32.034,23.167,22.493,24.195,29.500,33.653,25.449,30.154,31.660,70.147,64.093,68.624,52.271,122.613,109.295,123.602,..,82.674,69.708,41.670,57.760,30.408,38.664,52.842,54.752,..,..,..,..,..,41.222,89.874,65.331,..,129.914,29.671,55.216,30.715,25.325,30.623,22.624,27.727,29.704,..,..,98.053,25.432,109.673,75.307,747.426,988.087,2277.109,..,139.029,..,..,..,93.665,153.602,..,74.283,43.636,34.694,31.254,36.976,38.056,42.922,29.613,48.827,..,12.360,33.518,33.771,33.914,31.211,..,45.824,50.957,30.015,62.523,67.914,57.117,96.715,..,21.429,51.859,..,15.902,95.621,95.621,30.795,,65.514,41.125,46.859,51.769,50.966,203.723,66.811,75.989,39.451,29.487,29.395,30.542,52.843,84.850,133.806,65.417,32.105,32.015,30.081,30.704,..,23.465,26.380,33.633,..,33.748,33.799,40.246,855.973,64.001,51.386,54.027,49.193,51.355,50.407,51.213,51.022,52.174,50.865,48.620,101.023,116.535,140.521,49.430,37.260,37.490,34.433,22.486,51.061,80.210,26.825,,
198805,5月-88,49.529,48.820,48.954,50.970,54.186,42.799,48.770,46.346,51.643,54.801,38.065,56.559,47.181,51.365,45.884,27.970,55.873,51.993,53.309,68.470,16.649,198.418,208.014,229.469,100.881,34.726,156.664,32.801,32.975,40.325,51.888,32.167,23.189,22.536,24.195,29.956,34.553,25.908,30.364,30.189,70.480,64.454,69.042,52.467,122.948,109.979,124.376,..,83.177,69.929,41.752,57.874,30.464,38.793,53.019,54.935,..,..,..,..,..,41.366,90.365,65.779,..,130.611,29.667,55.210,30.659,25.418,30.690,22.842,27.934,30.031,..,..,98.044,25.432,109.662,75.602,746.485,985.894,2280.364,..,139.002,..,..,..,94.318,153.747,..,75.804,43.876,34.788,31.339,37.077,38.378,43.285,29.864,49.240,..,12.365,33.662,33.917,34.065,31.296,..,45.993,51.119,30.106,62.726,68.018,57.204,96.863,..,21.497,52.066,..,15.945,95.674,95.674,31.078,,65.933,41.246,47.096,51.739,50.426,206.658,67.117,76.353,39.599,29.739,29.860,30.503,53.020,85.258,134.395,65.581,32.177,32.085,30.173,30.760,..,23.609,26.465,33.766,..,33.881,33.896,40.578,854.896,64.492,51.625,54.316,49.472,51.629,50.676,51.478,51.285,52.410,51.125,48.873,101.697,117.061,141.845,49.698,37.430,37.661,34.550,22.519,51.322,80.779,26.943,,
198806,6月-88,49.730,48.901,48.991,51.040,54.685,42.942,48.588,46.244,54.255,53.125,38.040,56.659,47.701,52.306,46.143,27.982,55.986,52.085,53.392,68.718,16.639,199.064,208.866,230.491,101.005,34.802,156.718,33.125,33.136,40.415,51.989,32.253,23.189,22.536,24.195,30.483,35.426,26.366,29.879,29.974,70.635,64.623,69.271,52.447,123.086,109.833,124.210,..,83.195,70.299,42.073,58.291,30.876,38.889,53.150,55.071,..,..,..,..,..,41.731,91.410,65.926,..,132.196,29.916,55.368,30.956,25.678,30.809,22.859,27.934,30.069,..,..,98.034,25.432,109.649,75.551,742.782,977.916,2259.250,..,139.291,..,..,..,94.526,154.055,..,76.162,43.918,34.788,31.339,37.077,38.391,43.300,29.874,49.256,..,12.377,33.777,34.033,34.185,31.367,..,46.158,51.351,30.234,63.019,68.107,57.279,96.990,..,21.497,52.066,..,15.945,96.600,96.600,31.248,,66.185,41.300,47.146,51.867,50.162,207.337,67.247,76.509,39.661,30.170,30.432,30.749,53.151,86.158,134.266,65.794,32.321,32.216,30.223,31.176,..,23.709,26.686,33.863,..,33.978,33.932,40.819,850.655,64.577,51.773,54.503,49.690,51.795,50.872,51.627,51.506,52.575,51.334,48.994,102.074,117.684,142.222,49.844,37.623,38.008,34.869,22.553,51.540,81.273,27.036,,
198807,7月-88,49.720,48.470,48.476,51.199,54.403,42.778,48.587,46.512,54.158,48.895,37.998,57.450,48.111,53.133,46.294,27.981,56.047,52.240,53.440,68.625,16.626,195.602,204.423,224.955,100.822,34.832,156.106,33.375,33.238,40.726,52.532,32.351,23.189,22.536,24.195,30.824,35.929,26.652,30.285,29.821,70.549,64.231,68.715,52.572,121.782,108.889,123.143,..,83.591,70.399,42.814,59.377,31.051,38.964,53.253,55.177,..,..,..,..,..,41.980,92.189,65.846,..,133.401,30.012,55.353,31.018,25.906,30.907,23.009,27.934,30.397,..,..,98.024,25.432,109.637,75.653,739.456,968.251,2265.530,..,139.789,..,..,..,95.065,155.917,..,75.650,44.198,34.750,31.305,37.036,38.650,43.592,30.076,49.589,..,12.375,33.879,34.135,34.292,31.406,..,46.633,51.681,30.336,63.522,68.703,57.780,97.839,..,22.491,54.918,..,16.592,96.544,96.544,31.354,,66.101,41.034,47.308,50.584,47.785,203.639,67.302,76.409,39.994,30.398,30.769,30.833,53.254,86.805,134.579,66.340,32.393,32.368,30.480,31.353,..,23.928,26.878,33.940,..,34.056,33.931,40.940,846.846,64.978,51.716,54.556,49.770,51.841,50.856,51.689,51.495,52.500,51.323,48.992,101.958,117.881,140.935,50.241,37.534,37.763,34.630,22.566,51.531,81.340,27.075,,
198808,8月-88,49.880,48.695,48.688,51.212,54.712,42.502,49.455,47.122,52.080,49.510,38.097,57.680,48.471,53.161,46.882,28.008,56.098,52.291,53.507,68.618,16.643,195.805,204.274,224.818,100.504,34.935,157.212,33.364,33.221,40.876,52.725,32.471,23.189,22.536,24.195,30.764,35.929,26.652,29.086,29.735,70.862,64.378,68.665,53.365,122.140,109.281,123.586,..,84.190,70.784,43.134,59.814,31.324,39.202,53.578,55.514,..,..,..,..,..,42.148,92.929,65.793,..,134.542,29.991,55.440,30.978,25.849,31.014,23.155,27.934,30.715,..,..,98.006,25.432,109.615,75.834,739.720,969.243,2256.037,..,139.840,..,..,..,95.383,156.693,..,75.502,44.404,34.840,31.386,37.133,38.785,43.744,30.181,49.762,..,12.392,34.109,34.366,34.546,31.384,..,46.848,51.897,30.482,63.767,68.945,57.984,98.184,..,22.491,54.918,..,16.592,96.168,96.168,31.712,,66.269,41.184,47.655,50.638,47.571,203.841,67.575,76.744,40.112,30.347,30.761,30.720,53.578,87.437,134.890,66.587,32.536,32.383,30.549,31.629,..,23.992,26.864,34.140,..,34.257,34.036,41.340,847.148,65.199,51.913,54.766,49.945,52.055,51.036,51.899,51.669,52.699,51.489,49.324,102.341,118.510,141.238,50.439,37.612,37.744,34.547,22.636,51.702,81.545,27.228,,
