"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.306783330495283,0.134334359747302,2.28372942761909,0.0231283901075537
"2","L(ts.divs.percent[, i], 1)",-0.11606503741107,0.0595469631676135,-1.94913445181694,0.0522671778781786
"3","L(ts.divs.percent[, i], 2)",0.000147407674763644,0.0595757264270995,0.00247429084971412,0.998027546769653
"4","L(ts.divs.percent[, i], 3)",0.117913161374144,0.0601920233921367,1.95894995265349,0.0511004275837482
"5","L(ts.divs.percent[, i], 4)",0.0362401632447448,0.0598057892169502,0.605964133560395,0.545024273915059
"6","L(ts.divs.percent[, i], 5)",0.0553863316709166,0.0592581545976319,0.934661770130958,0.350759452578104
"7","L(ts.divs.percent[, i], 6)",0.0529450826107309,0.0596734607333015,0.887246725095405,0.375699474207643
"8","L(ts.divs.percent[, i], 7)",-0.0111418325214526,0.0595396533826793,-0.187132975898276,0.851690461950073
"9","L(ts.divs.percent[, i], 8)",-0.0775211433612923,0.0594015629834627,-1.30503541435221,0.192940899300823
"10","L(ts.divs.percent[, i], 9)",0.0748072042615107,0.0598843810948302,1.24919391156518,0.212626395688177
"11","L(ts.divs.percent[, i], 10)",0.00874323102206123,0.0591591589043786,0.147791672227681,0.882612423705183
"12","L(ts.divs.percent[, i], 11)",-0.0128372516329445,0.0592428423867067,-0.216688651586794,0.828607113900729
"13","L(ts.divs.percent[, i], 12)",0.119026681867121,0.0582124536301215,2.04469446732841,0.0418100326397019
"14","L(ts.divs.percent[, 1], 1)",0.199483572126132,0.0891752235676831,2.23698426698898,0.0260661129436979
"15","L(ts.divs.percent[, 1], 2)",-0.0891429653272779,0.0892495134065003,-0.998806177477549,0.318741837540613
"16","L(ts.divs.percent[, 1], 3)",-0.0196269055983974,0.0891756322481945,-0.220092699133005,0.825957641618996
"17","L(ts.divs.percent[, 1], 4)",-0.00174952411049593,0.0893025277878183,-0.0195909808359824,0.984383463829773
"18","L(ts.divs.percent[, 1], 5)",-0.0211879393171337,0.0879170922771826,-0.240999090942782,0.809730328807764
"19","L(ts.divs.percent[, 1], 6)",-0.00967816703423851,0.0892389993244467,-0.108452213802303,0.913713837934229
"20","L(ts.divs.percent[, 1], 7)",0.0934787435050799,0.0884794544055265,1.05650225957136,0.291639848833896
"21","L(ts.divs.percent[, 1], 8)",-0.0755216805821382,0.0890418693372818,-0.848159199084979,0.397066106951824
"22","L(ts.divs.percent[, 1], 9)",-0.0518247427828606,0.0882812999228839,-0.587041002206933,0.557644194512084
"23","L(ts.divs.percent[, 1], 10)",-0.0324061479429431,0.0887442767215988,-0.365163243648996,0.715262308981167
"24","L(ts.divs.percent[, 1], 11)",0.0708097199231211,0.0894814480874833,0.79133408585311,0.429411782255831
"25","L(ts.divs.percent[, 1], 12)",-0.0760925211633281,0.0883063511603103,-0.861687977857795,0.389588770131009
"26","VAT1",-0.49528146430489,0.331456203906569,-1.4942591463592,0.136222039910741
"27","VAT2",0.454530852296729,0.321242852546206,1.41491351074138,0.158193226958332
"28","VAT3",-0.355966157182257,0.325366764284815,-1.09404584689128,0.274865188644062
"29","Recession",0.0789612898684974,0.0883930042649389,0.893297954121211,0.372456634295226
"30","D.August",0.161295597701353,0.160198167816033,1.0068504521636,0.314866738308603
"31","D.December",-0.102883006678949,0.159173695941198,-0.646356837231173,0.518572103460406
"32","D.February",0.229104734354629,0.161711325972186,1.41675131891525,0.157655491062758
"33","D.January",-0.287183374174176,0.171681182169428,-1.6727714158606,0.0954773632092125
"34","D.July",-0.260079058858949,0.172465890946602,-1.50800287193874,0.13266930792587
"35","D.June",-0.147743803178592,0.160615896721793,-0.919857910668097,0.358430410527548
"36","D.March",-0.204366340841965,0.179411913743823,-1.13909013385685,0.255628832017677
"37","D.May",-0.103819090632538,0.178733384124394,-0.580860095841314,0.56179702663651
"38","D.November",-0.118832481308137,0.174410246978489,-0.681338874101779,0.496214242585907
"39","D.October",-0.0139879705135547,0.112131704580014,-0.1247459009559,0.900813280473349
"40","D.September",-0.124518338625863,0.174990464713115,-0.711572135258925,0.477315891470919
"41","Trend",-0.000416721219205722,0.000212710601789587,-1.95909943227908,0.0510828300959179
