date,CPI Inflatio,Trimmed25%,20%,15%
2006/2/1,2,0.055399649,0.062105201,0.090923708
2006/3/1,1.8,0.086935313,0.134508573,0.207220773
2006/4/1,2,0.070104932,0.14315624,0.303615218
2006/5/1,2.2,0.359928849,0.468722528,0.609057723
2006/6/1,2.5,0.57020722,0.643924571,0.840321752
2006/7/1,2.4,0.594689351,0.693773271,0.806324043
2006/8/1,2.5,0.855380034,0.926448243,1.043605705
2006/9/1,2.4,1.415722513,1.560608863,1.737792266
2006/10/1,2.4,1.466973003,1.618028404,1.810147565
2006/11/1,2.7,1.570447686,1.747803746,1.930992769
2006/12/1,3,1.722540862,1.948315033,2.339607142
2007/1/1,2.7,1.795700389,1.977636681,2.356330066
2007/2/1,2.8,0.324823649,0.435824811,0.577585805
2007/3/1,3.1,0.449366996,0.594639699,0.715384104
2007/4/1,2.8,0.646537448,0.748373478,0.817555942
2007/5/1,2.5,0.672928752,0.816255657,0.888909519
2007/6/1,2.4,0.536232571,0.706738892,0.990005506
2007/7/1,1.9,0.381774158,0.470959467,0.69206101
2007/8/1,1.8,0.321772432,0.428054243,0.719427044
2007/9/1,1.8,0.427253586,0.554753038,0.755322076
2007/10/1,2.1,0.421131264,0.551311683,0.731810953
2007/11/1,2.1,0.373353251,0.53126051,0.7055892
2007/12/1,2.1,0.236330786,0.281362939,0.423041754
2008/1/1,2.2,-0.22156229,-0.115806069,0.067939534
2008/2/1,2.5,0.067184934,0.081414844,0.117555631
2008/3/1,2.5,0.034596142,-0.009311273,0.074319894
2008/4/1,3,0.006824023,0.046874378,0.180602765
2008/5/1,3.3,0.121786143,0.226593597,0.404693113
2008/6/1,3.8,0.500624631,0.607578464,0.821083171
2008/7/1,4.4,0.684312188,1.084425287,1.343065055
2008/8/1,4.7,0.591259082,0.806363315,1.092395828
2008/9/1,5.2,0.557879664,0.661898318,0.900473293
2008/10/1,4.5,0.134908412,0.004703315,0.026416054
2008/11/1,4.1,-0.027439065,-0.210551536,-0.220480016
2008/12/1,3.1,-0.81366203,-1.111371144,-1.167366348
2009/1/1,3,-0.717219733,-1.046830534,-1.182565674
2009/2/1,3.2,0.240995423,0.368013163,0.494065509
